#{"t_start": 1528286051.3950543, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,759,33.377085
-21.0,940,68.164709
-20.0,956,103.863994
-20.0,1015,141.046335
-21.0,882,173.240082
-20.0,924,207.071325
-20.0,861,238.953571
-21.0,913,273.041663
-20.0,976,308.933048
-19.0,930,343.352026
-17.0,1294,391.651441
-19.0,1073,431.140463
-18.0,1269,477.445097
-20.0,1109,518.342182
-20.0,1128,559.946116
-16.0,1481,615.067358
-17.0,1576,672.653893
-18.0,1576,731.542594
-21.0,1504,786.568629
-17.0,1835,854.612855
-9.0,2602,951.540059
-7.0,2644,1049.16748
-13.0,2231,1132.973066
-1.0,3213,1252.260901
14.0,2204,1333.945282
10.0,2552,1428.162123
16.0,2032,1504.142004
10.0,2932,1612.350062
19.0,2162,1692.249631
19.0,2175,1772.45279
20.0,1991,1846.732748
19.0,2192,1927.458119
14.0,2368,2016.568412
20.0,1992,2090.234612
17.0,1832,2158.251565
20.0,1564,2214.939818
19.0,2155,2295.751283
19.0,2254,2378.461826
19.0,2029,2455.451165
18.0,1835,2522.540049
20.0,2102,2600.659768
14.0,2646,2699.540025
20.0,2005,2774.667315
18.0,2039,2849.839822
20.0,1563,2908.363766
