#{"t_start": 1528289406.466772, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,959,17.594755
-19.0,927,29.40939
-21.0,881,40.135982
-20.0,986,52.608895
-21.0,945,64.813951
-21.0,817,75.192444
-21.0,792,85.272543
-20.0,979,97.429633
-21.0,883,108.96103
-21.0,841,119.422986
-21.0,760,129.334792
-21.0,760,139.019315
-21.0,819,149.202632
-21.0,992,161.962311
-20.0,969,174.389577
-21.0,778,184.582841
-19.0,1190,199.572093
-21.0,810,209.915929
-21.0,837,220.41394
-19.0,1059,233.927222
-20.0,864,244.798272
-21.0,818,255.709743
-20.0,887,267.128979
-21.0,943,279.527006
-21.0,833,290.204318
-20.0,985,302.657624
-21.0,886,313.901612
-20.0,892,325.628684
-20.0,1015,338.862394
-21.0,880,350.059353
-21.0,809,360.332061
-20.0,1013,373.500111
-17.0,1347,390.944714
-20.0,1054,404.316138
-18.0,1320,421.730892
-20.0,1184,436.796831
-17.0,1322,453.127864
-15.0,1884,477.079815
-20.0,1643,497.833367
-18.0,1499,516.25243
-5.0,2250,545.649521
-17.0,1821,568.028954
-11.0,2187,595.446095
-17.0,1571,614.522462
-17.0,1159,629.158859
-15.0,2073,655.888837
6.0,2839,691.373794
5.0,3107,730.329679
18.0,1749,752.370209
18.0,1745,774.492259
7.0,2785,809.499898
4.0,3232,849.806946
19.0,1635,870.364626
15.0,1882,893.787867
17.0,2180,921.659033
17.0,2102,948.705148
20.0,2049,975.23455
15.0,2340,1005.306934
14.0,2093,1032.479676
17.0,2184,1061.551052
20.0,1985,1087.440377
20.0,1996,1113.71216
18.0,2242,1143.724576
15.0,2044,1170.939647
20.0,1566,1192.350931
20.0,1563,1214.218128
18.0,1723,1238.679112
8.0,2915,1278.712205
20.0,1566,1301.703313
20.0,1565,1325.160575
10.0,2496,1361.797408
20.0,1561,1385.655136
19.0,2022,1416.624019
19.0,1636,1442.115497
1.0,3643,1501.678901
19.0,1633,1530.902484
20.0,1562,1557.155684
19.0,1632,1588.013149
19.0,1602,1615.75583
19.0,1636,1644.704655
18.0,2074,1682.17685
19.0,1629,1712.122795
18.0,2119,1752.294752
18.0,1729,1782.800129
19.0,1655,1815.842076
17.0,2122,1853.621235
20.0,1561,1883.117806
18.0,1753,1916.678
19.0,1664,1948.614838
14.0,2552,1999.883464
19.0,2102,2040.550535
20.0,2005,2081.819532
17.0,2218,2130.370935
19.0,2041,2175.528571
18.0,1742,2212.109716
20.0,2004,2258.134682
19.0,1695,2299.127375
17.0,1727,2340.060873
19.0,1636,2378.305233
17.0,1814,2421.638909
20.0,2002,2470.389267
18.0,2221,2526.188825
17.0,1828,2571.370431
19.0,1631,2612.275006
20.0,1562,2653.576524
20.0,1993,2704.405867
18.0,1757,2751.566048
13.0,2168,2810.506995
21.0,2032,2863.42899
15.0,2037,2917.541507
18.0,2225,2975.428584
18.0,1749,3024.171427
16.0,2213,3083.518085
19.0,1634,3127.030283
17.0,1822,3177.195276
18.0,2178,3241.400014
16.0,2298,3307.640941
13.0,2120,3372.368796
15.0,1995,3431.008586
20.0,2002,3491.461523
20.0,1562,3541.456632
14.0,2408,3617.556179
20.0,2001,3678.900819
-8.0,2955,3767.703263
14.0,2189,3839.276244
16.0,2286,3913.504317
20.0,1561,3964.127718
20.0,2010,4029.714149
18.0,2079,4094.884051
20.0,2007,4159.131658
20.0,2006,4224.602259
18.0,1666,4277.924395
17.0,2154,4351.073472
15.0,2323,4428.51735
14.0,2080,4495.68894
20.0,1564,4544.940686
19.0,1630,4594.287075
19.0,2086,4682.415406
19.0,2088,4794.784378
20.0,1564,4882.226438
20.0,1567,4972.205251
20.0,1993,5086.980957
20.0,1561,5166.915399
18.0,2200,5285.700501
20.0,2194,5405.369669
