#{"t_start": 1529013233.0785422, "env_id": "HalfCheetah-v2"}
r,l,t
-952.747841,1000,17.726478
-844.136503,1000,32.933792
-805.039748,1000,47.589931
-848.750656,1000,63.24765
-798.346999,1000,78.302937
-734.039093,1000,90.891897
-405.08824,1000,104.945215
-523.235831,1000,119.252446
-523.359827,1000,133.202675
-622.787108,1000,148.190865
-486.110396,1000,161.330028
-429.89326,1000,175.860726
-423.148115,1000,189.748941
-523.393374,1000,204.212307
-469.48962,1000,218.805254
-482.664563,1000,231.175721
-415.613459,1000,245.010004
-299.433981,1000,258.539563
-180.459888,1000,272.53114
-183.528447,1000,286.739206
-582.335318,1000,300.403348
-993.812237,1000,312.37043
-604.67145,1000,326.716775
-426.8529,1000,341.543682
-393.083114,1000,356.22629
-359.203235,1000,370.726221
-527.935496,1000,384.130579
-515.075789,1000,397.452248
-667.655885,1000,411.033908
-659.65306,1000,424.54373
-646.466426,1000,438.219956
-656.464137,1000,449.610145
-508.868654,1000,461.993521
-504.941149,1000,473.552592
-385.708399,1000,486.101496
-422.284569,1000,499.75094
-418.129263,1000,513.292996
-355.31003,1000,525.69847
-575.040996,1000,539.357664
-503.050264,1000,552.029068
-410.417169,1000,565.673169
-464.325078,1000,578.485138
-416.239486,1000,589.599387
-528.15976,1000,602.876704
-526.77548,1000,616.39987
-373.375051,1000,630.268735
-562.494292,1000,643.883122
-655.443069,1000,656.094568
-551.580167,1000,668.834506
-670.16716,1000,681.529543
-675.955339,1000,694.266217
-677.334352,1000,708.112909
-374.728339,1000,721.378127
-598.011205,1000,733.743516
-632.052007,1000,747.647682
-567.092344,1000,761.494505
-566.611795,1000,775.050534
-685.644979,1000,788.829672
-688.804012,1000,800.908683
-749.735696,1000,814.253394
-792.351144,1000,828.487091
-674.62063,1000,842.962754
-615.807795,1000,856.362956
-625.503547,1000,868.461144
-610.326955,1000,881.887416
-950.820298,1000,895.893838
-895.666086,1000,909.811538
-690.849498,1000,923.165053
-563.045566,1000,936.736864
-801.60802,1000,948.860897
-459.64588,1000,962.239562
-661.740847,1000,975.940807
-533.190365,1000,989.753349
-555.559779,1000,1002.001996
-526.741278,1000,1013.013046
-581.150131,1000,1026.130682
-526.14379,1000,1040.169461
-495.572736,1000,1053.338417
-435.450501,1000,1066.838223
-340.697641,1000,1078.809075
-365.660272,1000,1092.297678
-438.054018,1000,1106.27684
-373.401895,1000,1119.655759
-397.180268,1000,1131.613262
-423.078812,1000,1143.993228
-306.882483,1000,1155.081285
-218.839623,1000,1168.09318
-204.639806,1000,1180.711084
-241.190609,1000,1193.367118
-202.641007,1000,1206.872317
-330.763741,1000,1217.916521
-124.922813,1000,1231.173471
-135.01404,1000,1243.0201
-161.464751,1000,1255.796831
-107.649384,1000,1268.156957
-121.068683,1000,1279.797519
-216.307521,1000,1293.236986
-289.297664,1000,1307.127482
-214.17384,1000,1320.239985
-162.948768,1000,1333.555221
-261.587695,1000,1347.299456
-222.929137,1000,1359.232335
-141.99268,1000,1372.470269
-193.805329,1000,1385.906061
-55.039844,1000,1399.714392
-195.398138,1000,1413.723409
-192.629149,1000,1425.664006
-215.922033,1000,1438.509886
-233.823964,1000,1451.426762
-273.734242,1000,1465.486564
-112.145712,1000,1479.640492
-90.186178,1000,1491.939355
-17.699739,1000,1506.137356
-63.642527,1000,1519.953673
-42.785464,1000,1534.380331
-67.153505,1000,1548.455458
-161.871575,1000,1561.822388
-361.312244,1000,1574.270538
-181.381721,1000,1587.799763
-587.808444,1000,1601.918219
-466.064391,1000,1615.336989
-155.45509,1000,1629.832043
108.153276,1000,1642.72524
-548.181612,1000,1657.100592
-189.45665,1000,1671.228078
-412.240346,1000,1685.059443
-143.265916,1000,1699.531159
-302.040403,1000,1712.020547
-604.675766,1000,1725.378665
-732.311543,1000,1739.305203
-736.055081,1000,1753.274995
-561.91593,1000,1767.086264
-583.1435,1000,1781.273502
-582.526284,1000,1793.488975
-575.231849,1000,1807.646315
-401.545848,1000,1821.011912
-520.640401,1000,1834.383121
-596.664816,1000,1847.83887
-522.801501,1000,1860.398968
-1123.945124,1000,1874.603747
-268.47285,1000,1888.409585
-422.96604,1000,1902.904016
-1850.231399,1000,1917.046412
-1594.466601,1000,1929.209259
-566.110136,1000,1942.789954
-1787.200237,1000,1956.531187
-1277.81328,1000,1969.343003
-1656.323331,1000,1983.130146
-822.55151,1000,1996.602212
-876.975073,1000,2008.155225
-751.150957,1000,2021.856444
-870.550654,1000,2035.273569
-1168.331674,1000,2048.593943
-1313.354864,1000,2062.021992
-952.104008,1000,2074.664717
-867.157695,1000,2088.936313
-785.973552,1000,2102.716264
-852.437796,1000,2116.577448
-966.732816,1000,2130.401042
-835.355466,1000,2142.786875
-1381.407872,1000,2156.433461
-1468.17492,1000,2170.168661
-1698.060503,1000,2183.737448
-1467.586949,1000,2197.156731
-1093.126711,1000,2210.086649
-1174.343291,1000,2222.05767
-979.271808,1000,2236.306935
-1616.500668,1000,2249.817571
-1087.955888,1000,2262.97038
-1153.144178,1000,2276.178062
-1857.664555,1000,2288.036544
-1477.731313,1000,2301.802783
-1231.396428,1000,2315.241868
-1723.571268,1000,2329.16046
-1394.83198,1000,2343.959122
-1447.098292,1000,2357.248894
-1897.594783,1000,2372.194
-1617.008999,1000,2386.963778
-1350.098892,1000,2401.203548
-1275.674243,1000,2415.800914
-1823.208001,1000,2430.114165
-1734.717047,1000,2442.090227
-1763.984937,1000,2455.908237
-1577.535752,1000,2469.325721
-1508.265194,1000,2483.51549
-1527.355214,1000,2497.483348
-2913.907354,1000,2509.819122
-1691.728336,1000,2523.165797
-1874.809445,1000,2536.991193
-1570.030869,1000,2550.971303
-1500.469585,1000,2564.909585
-2069.066168,1000,2576.506073
-1938.551006,1000,2589.419209
-2056.407535,1000,2602.186798
-2059.579956,1000,2615.419924
-1923.656446,1000,2628.933866
-1923.374868,1000,2642.930728
-1938.607279,1000,2655.650183
-1975.218659,1000,2670.304004
-1871.636021,1000,2684.252249
-1862.351406,1000,2698.093994
-1673.824176,1000,2711.755402
-1548.209968,1000,2723.56659
-1385.359978,1000,2737.064768
-1249.312064,1000,2750.516388
-1934.797081,1000,2765.042276
-1455.41499,1000,2778.677336
-2100.060846,1000,2791.014987
-1943.036729,1000,2804.735492
-1966.738104,1000,2817.95441
-2045.940542,1000,2832.10305
-2068.774555,1000,2846.01106
-1977.103113,1000,2859.579649
-1704.509324,1000,2872.004324
