#{"t_start": 1529013090.8452308, "env_id": "HalfCheetah-v2"}
r,l,t
-957.716333,1000,19.606003
-881.715949,1000,35.851155
-716.040627,1000,50.598596
-861.699088,1000,62.913167
-891.250218,1000,74.826887
-971.421982,1000,85.297101
-930.189625,1000,97.087512
-921.35936,1000,110.265702
-856.71418,1000,124.836828
-808.564764,1000,139.916667
-842.400997,1000,153.655356
-656.308805,1000,169.721795
-668.764228,1000,185.689448
-774.611821,1000,199.401226
-585.307678,1000,213.579738
-550.056366,1000,225.972904
-704.618465,1000,239.95095
-730.518915,1000,254.202841
-714.59165,1000,266.572446
-620.21808,1000,279.951236
-753.562222,1000,292.055185
-662.605983,1000,304.138779
-594.431506,1000,317.233945
-878.766343,1000,329.865012
-810.180453,1000,342.08972
-629.430653,1000,354.028461
-553.296884,1000,366.76487
-822.470982,1000,379.213752
-898.807395,1000,391.862669
-800.141187,1000,405.145698
-589.465577,1000,418.10968
-682.675628,1000,430.506207
-706.894631,1000,443.442637
-514.757946,1000,458.883217
-633.302662,1000,473.130064
-554.332249,1000,487.351474
-682.884001,1000,501.195549
-583.797818,1000,512.218535
-324.60876,1000,525.564814
-172.347404,1000,538.862371
-176.301907,1000,551.864717
-154.299393,1000,566.319543
-289.89179,1000,577.427723
-724.005783,1000,590.557359
-721.28413,1000,603.84078
-749.789194,1000,616.704419
-725.183699,1000,630.374919
-678.807895,1000,641.29235
-703.482366,1000,654.564522
-674.033862,1000,667.952977
-674.152991,1000,680.715878
-576.021345,1000,693.023128
-545.929298,1000,706.761509
-456.488735,1000,718.457584
-441.315957,1000,732.546497
-389.80922,1000,745.845865
-535.941429,1000,759.16772
-534.559991,1000,773.394911
-366.574447,1000,785.632448
-488.634895,1000,799.698028
-552.020575,1000,813.694817
-596.330829,1000,828.241166
-421.175496,1000,841.631224
-439.242445,1000,854.574663
-407.683072,1000,868.555323
-424.774572,1000,883.218751
-482.980459,1000,897.100795
-621.889859,1000,909.847231
-530.125411,1000,923.043638
-595.682481,1000,935.385254
-533.315732,1000,948.828067
-608.868541,1000,962.787281
-477.71445,1000,976.304212
-488.866703,1000,988.297903
-575.902067,1000,999.883341
-635.834106,1000,1012.990666
-684.756332,1000,1026.39271
-567.72321,1000,1040.453094
-539.766112,1000,1052.966654
-514.043767,1000,1064.016928
-565.867728,1000,1076.171866
-777.091426,1000,1089.502413
-538.498666,1000,1103.197127
-503.395391,1000,1116.284932
-526.274207,1000,1128.482608
-502.897359,1000,1139.980232
-481.521826,1000,1153.116689
-523.865332,1000,1165.982216
-530.114834,1000,1180.43012
-445.411148,1000,1194.226763
-494.634311,1000,1206.016884
-503.478856,1000,1218.284386
-514.011667,1000,1230.558427
-621.012341,1000,1243.127977
-698.447889,1000,1256.055923
-911.942924,1000,1267.826787
-825.491922,1000,1280.456455
-898.601138,1000,1293.773909
-764.285036,1000,1308.489723
-610.826803,1000,1322.954775
-528.235022,1000,1339.393776
-666.605036,1000,1354.390746
-586.35371,1000,1370.816876
-733.61337,1000,1387.338022
-629.607764,1000,1403.653929
-611.079946,1000,1420.104668
-569.010917,1000,1434.575844
-546.860374,1000,1450.859222
-534.61807,1000,1467.925694
-1199.458117,1000,1484.688363
-1052.749318,1000,1501.520962
-706.777795,1000,1516.607736
-544.799723,1000,1533.783322
-559.323183,1000,1550.700826
-602.76849,1000,1566.330745
-577.234696,1000,1582.106058
-565.787773,1000,1598.440753
-644.97086,1000,1613.008364
-678.102694,1000,1629.706594
-638.995361,1000,1645.751288
-660.519394,1000,1661.661691
-761.890808,1000,1678.735825
-627.907987,1000,1693.05899
-736.207526,1000,1708.850728
-523.478943,1000,1725.831671
-552.914543,1000,1742.664483
-562.634522,1000,1758.964757
-833.794697,1000,1773.663986
-552.646597,1000,1789.93101
-638.237792,1000,1806.958473
-606.250097,1000,1823.218259
-700.402548,1000,1839.888309
-684.872641,1000,1856.038683
-643.805182,1000,1870.566868
-667.895338,1000,1886.098644
-697.034073,1000,1902.162798
-655.461066,1000,1919.808146
-669.384914,1000,1935.616385
-776.426289,1000,1950.746872
-642.418008,1000,1968.153046
-603.340045,1000,1985.287215
-612.15137,1000,2003.182786
-697.610086,1000,2020.067486
-552.833886,1000,2035.364935
-786.236855,1000,2053.556267
-684.897453,1000,2071.028287
-651.392095,1000,2089.029586
-654.110573,1000,2106.689354
-649.724164,1000,2124.281769
-665.079087,1000,2140.251242
-708.191229,1000,2157.741287
-612.053921,1000,2175.246587
-648.481978,1000,2192.442502
-599.869914,1000,2209.478462
-628.658411,1000,2224.446808
-582.043856,1000,2242.093623
-871.80784,1000,2259.225337
-642.856317,1000,2276.651623
-751.82641,1000,2294.414874
-708.230209,1000,2309.355452
-661.60788,1000,2326.168921
-550.899933,1000,2343.596448
-731.097704,1000,2360.367622
-574.653553,1000,2377.620841
-615.331012,1000,2394.103338
-603.60128,1000,2409.006411
-720.044066,1000,2426.490692
-737.230348,1000,2444.061847
-730.036843,1000,2461.876795
-908.486524,1000,2479.476429
-667.348408,1000,2494.746599
-510.714051,1000,2512.544474
-662.582165,1000,2529.831253
-521.83367,1000,2546.799964
-344.467556,1000,2563.766241
-523.531725,1000,2578.882205
-490.527462,1000,2596.323871
-539.652484,1000,2613.683769
-546.680744,1000,2630.772981
-506.394558,1000,2648.05007
-734.93655,1000,2665.283203
-611.90731,1000,2680.135175
-522.210397,1000,2697.8158
-562.696483,1000,2715.285078
-615.303693,1000,2732.518769
-703.150985,1000,2749.925248
-524.564693,1000,2765.375899
-621.67042,1000,2782.926531
-611.361213,1000,2800.092518
-680.593993,1000,2817.192694
-564.59055,1000,2834.980676
-610.575383,1000,2850.948657
-704.408604,1000,2868.705946
-594.722617,1000,2886.676831
-403.920498,1000,2904.009436
-502.631186,1000,2920.976401
