#{"t_start": 1528307644.3763955, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,1062,36.491072
-21.0,847,61.182873
-19.0,947,89.284503
-20.0,882,115.217113
-20.0,836,139.79977
-20.0,933,167.184129
-21.0,782,190.231267
-21.0,899,216.689521
-18.0,1090,249.111154
-18.0,1115,282.67503
-21.0,819,307.292764
-20.0,960,335.214519
-21.0,944,362.492438
-17.0,1190,395.974492
-20.0,883,422.10415
-21.0,1024,455.403698
-20.0,1073,490.48455
-21.0,814,516.698467
-21.0,885,545.083681
-18.0,1057,579.087792
-21.0,845,606.376507
-18.0,1074,640.574475
-20.0,971,670.89654
-19.0,933,701.398384
-21.0,1035,734.835022
-19.0,936,764.703495
-21.0,837,790.991606
-21.0,1030,824.095671
-21.0,791,849.809389
-21.0,789,876.298391
-21.0,820,903.01861
-21.0,790,928.787772
-20.0,836,956.429924
-21.0,911,985.297183
-20.0,979,1016.09636
-20.0,913,1044.505018
-21.0,913,1073.512864
-21.0,822,1099.287431
-21.0,823,1125.526998
-21.0,908,1153.592683
-21.0,942,1183.709804
-20.0,867,1210.838849
-21.0,899,1238.713567
-21.0,852,1265.407248
-19.0,1200,1302.283164
-21.0,927,1333.204915
-19.0,1050,1367.298875
-21.0,1090,1403.582773
-21.0,760,1428.50824
-21.0,1017,1461.714763
-17.0,1313,1504.31443
-20.0,1023,1537.292484
-21.0,867,1568.475213
-20.0,1088,1602.41305
-19.0,937,1631.305623
-19.0,1107,1665.707898
-19.0,1118,1701.777005
-20.0,972,1733.396162
-19.0,945,1764.096581
-21.0,998,1796.886065
-20.0,938,1827.296895
-21.0,1033,1861.610356
-20.0,988,1893.086611
-19.0,1101,1928.586784
-20.0,931,1959.004821
-20.0,1161,1997.677276
-19.0,974,2029.822281
-18.0,1224,2070.775371
-18.0,1038,2105.384632
-20.0,1115,2141.597593
-20.0,997,2174.984116
-19.0,1271,2216.875185
-18.0,1319,2260.587657
-17.0,1383,2305.38526
-17.0,1741,2363.20392
-16.0,1739,2420.487016
-20.0,1473,2468.784073
-15.0,2106,2537.788724
-18.0,1913,2600.407974
-20.0,1465,2648.889666
-19.0,1471,2696.298861
-11.0,2413,2775.295637
-7.0,2722,2864.599269
-19.0,1699,2920.695974
-21.0,1597,2973.474733
3.0,2734,3062.215961
5.0,2557,3145.782625
3.0,2589,3231.898671
-4.0,2702,3320.589012
-16.0,1810,3380.403642
1.0,2892,3472.612223
-8.0,2365,3547.907927
12.0,2117,3615.634737
8.0,2514,3694.607914
3.0,2917,3787.122924
18.0,1800,3844.793343
18.0,2141,3913.410309
17.0,2227,3983.232231
20.0,2002,4044.674467
8.0,2759,4129.298854
18.0,1757,4182.606589
18.0,2145,4247.823951
16.0,2316,4318.516846
14.0,2542,4396.321844
15.0,2052,4457.90017
13.0,2625,4536.292615
19.0,1634,4584.894237
20.0,2006,4645.135387
19.0,2174,4711.122841
20.0,1567,4758.51324
17.0,1912,4817.127388
16.0,1810,4871.699063
18.0,1758,4924.616481
17.0,2021,4984.774708
20.0,1628,5032.887881
-3.0,3489,5136.674771
18.0,2087,5200.411093
19.0,1626,5249.426156
20.0,1565,5297.293981
18.0,1717,5348.803571
20.0,2006,5408.778502
