#{"t_start": 1528307583.3201458, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,818,26.998114
-20.0,998,54.589893
-21.0,820,77.325728
-21.0,814,99.721532
-21.0,911,125.215379
-19.0,1051,154.328437
-21.0,879,178.529039
-19.0,973,205.308645
-20.0,885,230.007509
-20.0,842,253.300136
-20.0,953,279.825737
-21.0,845,303.4975
-21.0,884,328.004153
-21.0,847,351.323955
-21.0,868,375.420213
-20.0,832,398.714448
-21.0,848,421.817246
-21.0,787,443.704833
-21.0,908,468.907203
-20.0,1031,497.395399
-20.0,1056,526.091975
-21.0,973,552.485076
-19.0,996,579.895207
-21.0,885,603.914245
-20.0,837,627.216241
-21.0,913,652.3926
-20.0,958,678.916127
-21.0,821,701.609496
-21.0,920,727.396455
-21.0,821,749.921212
-19.0,929,775.634158
-21.0,818,798.391245
-20.0,958,824.892938
-21.0,997,852.507087
-21.0,853,876.213537
-20.0,1222,910.31026
-21.0,1059,939.606105
-20.0,1007,967.812227
-21.0,761,988.996388
-21.0,781,1010.695049
-20.0,858,1033.829376
-19.0,1204,1066.897839
-20.0,925,1091.906732
-21.0,821,1114.611787
-20.0,854,1138.215944
-20.0,869,1162.319077
-18.0,1094,1192.902692
-19.0,1023,1221.324967
-20.0,946,1247.705321
-21.0,999,1275.203674
-21.0,941,1301.294945
-19.0,938,1326.894628
-20.0,1156,1358.535928
-20.0,1044,1387.183549
-21.0,818,1409.402793
-21.0,820,1431.71236
-20.0,835,1454.337192
-21.0,841,1477.333659
-18.0,1025,1505.383924
-21.0,783,1526.623934
-18.0,1152,1558.210736
-19.0,995,1585.792491
-21.0,902,1610.795962
-21.0,905,1636.206563
-20.0,960,1662.633867
-21.0,820,1685.39901
-19.0,1122,1716.294424
-20.0,971,1743.412652
-21.0,986,1770.801529
-18.0,1315,1807.600052
-20.0,974,1834.590803
-20.0,1157,1866.802863
-19.0,1072,1896.604276
-20.0,977,1923.692075
-21.0,1085,1954.295763
-20.0,1452,1994.400852
-19.0,1063,2024.025505
-19.0,1131,2055.006891
-20.0,1268,2089.435722
-19.0,1144,2120.916691
-20.0,1080,2150.434536
-19.0,1214,2183.704707
-19.0,1453,2223.9141
-20.0,1371,2261.994003
-12.0,1803,2311.894585
-18.0,1619,2356.629033
-17.0,1506,2398.501516
-16.0,1903,2451.405097
-21.0,1692,2498.215317
-18.0,1789,2547.629842
-18.0,1663,2593.497109
-19.0,1552,2636.707773
-11.0,1998,2692.130595
-13.0,1969,2746.396671
-18.0,1578,2789.808445
-15.0,1715,2837.183563
-19.0,1553,2879.886382
-9.0,2158,2939.608426
-19.0,1426,2979.125453
-2.0,2861,3058.194701
-15.0,1827,3108.500228
-1.0,2933,3189.402291
1.0,3003,3273.019117
-3.0,3110,3359.993637
-9.0,2417,3427.326064
-4.0,2756,3504.532248
6.0,2908,3583.906134
9.0,2975,3664.333498
9.0,2979,3746.992753
-2.0,3580,3846.826496
12.0,2399,3914.005324
11.0,2566,3984.71644
7.0,3502,4080.903765
14.0,2272,4144.003919
15.0,2372,4210.315758
13.0,2219,4272.694241
18.0,2074,4329.409849
20.0,2056,4385.006693
19.0,2137,4444.009509
14.0,2073,4502.230186
16.0,2286,4565.693017
14.0,2229,4628.211757
19.0,1782,4678.013787
20.0,2003,4733.618875
20.0,1615,4778.49075
15.0,1996,4834.696944
18.0,1779,4884.014789
18.0,1784,4929.191739
18.0,2170,4985.213002
20.0,2007,5036.895675
20.0,2061,5090.334282
20.0,1616,5131.806624
20.0,2002,5183.018898
19.0,2084,5236.606604
18.0,2245,5298.543991
20.0,1623,5339.794216
20.0,1626,5381.306159
17.0,2347,5443.102341
