#{"t_start": 1528313452.6700492, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,962,23.704107
-21.0,819,38.21641
-20.0,866,54.383919
-21.0,876,70.791281
-20.0,1023,90.630804
-21.0,882,107.811163
-20.0,960,127.02473
-21.0,788,142.60996
-21.0,786,158.314369
-21.0,865,175.50028
-21.0,897,193.643125
-20.0,856,210.52318
-21.0,837,226.890322
-19.0,977,246.299345
-19.0,1116,268.611503
-20.0,992,288.520825
-20.0,1067,309.803348
-20.0,1100,332.52656
-19.0,1094,353.517537
-19.0,996,373.339335
-21.0,1136,396.305797
-21.0,1008,416.323089
-19.0,1254,441.091554
-18.0,1449,469.518918
-20.0,1716,503.53575
-18.0,1604,535.334789
-17.0,1775,569.86873
-18.0,2263,614.127344
-16.0,1969,652.749639
-16.0,1918,688.29428
-8.0,2614,737.607469
-9.0,2795,792.242397
4.0,3185,853.397949
-14.0,2344,898.844136
2.0,2949,956.297924
-6.0,3212,1018.712394
-2.0,3516,1087.332405
6.0,3034,1147.850253
11.0,2526,1194.825124
13.0,2419,1242.31067
19.0,1684,1276.139036
8.0,3061,1336.820477
12.0,2649,1390.520499
15.0,2006,1431.497084
19.0,2046,1473.086828
17.0,2431,1524.803629
6.0,3032,1589.228722
14.0,2319,1638.142005
6.0,2901,1698.29949
8.0,2897,1758.026333
7.0,3149,1823.231605
17.0,2234,1869.131297
6.0,3209,1935.030777
18.0,1861,1972.730772
16.0,2277,2019.407528
20.0,1563,2051.325993
18.0,2153,2094.565005
18.0,1901,2133.893227
20.0,1624,2167.012729
17.0,1818,2204.218575
21.0,1975,2245.0186
12.0,2459,2295.332871
18.0,1898,2333.624004
19.0,1685,2367.201319
18.0,2258,2412.534592
17.0,1917,2451.191498
18.0,2956,2510.497377
20.0,2082,2552.127935
19.0,2103,2595.719038
17.0,2274,2642.612896
7.0,3164,2707.842139
11.0,2487,2758.028488
15.0,2391,2806.960093
11.0,2598,2860.532021
17.0,2290,2909.004771
18.0,2124,2952.401656
20.0,1565,2986.331351
