#{"t_start": 1528313233.4306383, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1046,22.942293
-21.0,869,37.286287
-21.0,821,50.842015
-21.0,792,63.425215
-21.0,1027,80.406582
-20.0,947,96.019345
-21.0,972,112.16467
-21.0,878,126.602931
-21.0,851,140.311972
-20.0,1044,157.471211
-20.0,987,172.968227
-20.0,1095,190.951835
-20.0,1070,208.411715
-20.0,935,224.08005
-21.0,780,236.989149
-21.0,874,251.120023
-20.0,1010,267.293098
-19.0,1044,284.582927
-20.0,915,299.711208
-20.0,919,315.309436
-21.0,954,330.530439
-20.0,965,347.191344
-21.0,962,362.447521
-18.0,1149,381.202433
-20.0,1008,397.382737
-19.0,1549,421.984797
-20.0,1483,446.301173
-19.0,1690,474.417627
-18.0,1704,502.622169
-16.0,1876,533.215692
-10.0,2302,570.813939
-15.0,1921,601.524389
-14.0,2014,634.391191
-14.0,2068,668.71742
-12.0,2462,708.728083
-15.0,1957,740.59023
-3.0,2709,784.309663
-6.0,2685,828.589354
-10.0,2241,865.625653
-2.0,2806,911.376413
-1.0,2810,958.206887
-1.0,2892,1006.78857
1.0,2806,1053.76551
-1.0,2941,1104.401823
1.0,2794,1155.315396
1.0,3043,1211.130984
2.0,3072,1266.606975
-1.0,3124,1324.92683
4.0,3069,1382.909418
8.0,2629,1433.244839
4.0,2865,1488.650167
5.0,3047,1551.158257
1.0,3570,1627.691405
4.0,3606,1707.336935
6.0,2871,1770.187016
10.0,2636,1830.214918
2.0,3267,1901.690915
12.0,2332,1952.299178
16.0,1942,1991.495594
18.0,1793,2029.081822
20.0,1665,2064.216736
20.0,1660,2097.700972
21.0,1690,2132.004286
20.0,1658,2166.893182
20.0,1661,2200.590949
19.0,1724,2234.937554
20.0,1670,2270.5585
20.0,1669,2305.495696
20.0,1667,2340.973566
20.0,1669,2376.674589
19.0,1723,2412.982372
16.0,1881,2455.180454
20.0,1667,2491.363085
18.0,1820,2532.707642
20.0,1656,2570.485821
20.0,1664,2609.788008
19.0,1747,2650.564512
20.0,1666,2689.688939
16.0,1904,2735.080831
21.0,1643,2776.565747
18.0,1784,2820.271738
19.0,1718,2863.568544
20.0,1666,2905.984655
