#{"t_start": 1528289406.720729, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1032,18.65548
-21.0,1022,31.427369
-19.0,937,42.746852
-20.0,936,54.664841
-20.0,864,65.474138
-21.0,850,76.718899
-21.0,779,86.129508
-21.0,928,97.760927
-21.0,819,108.667262
-20.0,898,120.379937
-21.0,823,130.797246
-21.0,821,141.161261
-18.0,1103,154.614691
-21.0,790,164.887462
-20.0,1156,179.709472
-20.0,939,191.940878
-20.0,1045,204.990314
-21.0,848,215.575721
-21.0,835,226.294189
-21.0,981,239.226556
-21.0,820,249.464164
-21.0,1021,262.638919
-21.0,898,274.532244
-21.0,916,285.839775
-20.0,1031,299.62029
-21.0,820,309.960622
-20.0,1006,323.111371
-21.0,851,333.874082
-18.0,1202,349.622081
-16.0,1384,367.640087
-19.0,942,379.695295
-19.0,1040,393.034514
-19.0,964,405.63619
-18.0,1093,419.477301
-20.0,1158,434.323999
-20.0,1296,450.424737
-18.0,1803,472.847231
-14.0,1964,498.078983
-21.0,1380,515.340922
-12.0,1999,540.894927
-10.0,2289,569.223691
-17.0,1702,590.696167
-12.0,1648,611.327542
-15.0,1769,633.476748
-15.0,2054,659.282773
-2.0,2917,696.571638
3.0,2973,734.020396
16.0,1880,757.285921
13.0,2079,782.994131
17.0,2192,810.577941
12.0,2248,839.049493
20.0,2054,864.787943
16.0,2375,895.195905
17.0,2254,923.538972
18.0,1745,945.821933
20.0,2004,972.015703
20.0,2065,998.121521
19.0,2038,1024.492939
8.0,2636,1059.249711
19.0,2083,1086.888686
19.0,2041,1113.592681
16.0,1975,1140.293856
8.0,2972,1180.458448
18.0,2030,1208.070588
14.0,2134,1238.312118
19.0,2080,1266.735953
18.0,2134,1297.847002
20.0,1564,1319.800195
19.0,1634,1345.128341
15.0,2167,1376.441199
18.0,2123,1409.578222
20.0,1567,1434.54175
20.0,1600,1460.736381
19.0,2154,1496.174187
19.0,2080,1531.1866
20.0,1989,1566.6744
19.0,1636,1595.659297
15.0,1908,1629.791619
17.0,1861,1663.269476
14.0,2421,1707.52132
20.0,1566,1737.064731
15.0,2085,1774.594407
17.0,2160,1816.041112
19.0,2097,1853.601582
19.0,1636,1885.824121
19.0,1662,1916.516849
2.0,3350,1983.269292
17.0,1798,2019.149053
19.0,2028,2059.451717
18.0,2121,2102.065349
19.0,1689,2139.691974
20.0,1561,2174.938254
18.0,1871,2215.5304
19.0,1690,2252.718215
15.0,2262,2307.616111
18.0,1927,2350.950556
16.0,2041,2398.79465
19.0,2084,2450.74097
16.0,1904,2497.085367
19.0,1629,2540.71948
11.0,2545,2601.554152
20.0,1621,2643.309174
14.0,2581,2709.881271
18.0,2165,2767.878796
17.0,2193,2827.1002
17.0,2228,2885.731744
20.0,2004,2938.666377
19.0,2080,2995.889881
19.0,2038,3051.093925
20.0,1565,3093.503606
20.0,2006,3148.104126
20.0,1997,3204.783825
20.0,1984,3259.947492
21.0,1992,3319.181472
20.0,2031,3382.888052
20.0,1567,3425.561184
17.0,1731,3479.25362
20.0,2004,3541.912986
16.0,1912,3604.059278
21.0,1977,3661.334904
14.0,2123,3728.789009
18.0,1808,3786.653724
19.0,2072,3851.698672
15.0,2000,3914.35477
20.0,1994,3978.857257
19.0,2083,4048.803967
20.0,1567,4100.040507
6.0,3083,4198.173818
17.0,2012,4263.496828
18.0,2096,4335.81371
20.0,2003,4400.250859
18.0,1724,4456.575794
20.0,2003,4520.943336
19.0,1632,4570.433689
12.0,2404,4648.713147
19.0,2041,4771.755804
18.0,1825,4870.324268
20.0,2131,4985.059787
17.0,2130,5109.522079
19.0,2086,5220.625442
20.0,2000,5331.173086
19.0,2088,5445.51278
