#{"t_start": 1528301681.9577918, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,880,39.626474
-20.0,1050,80.018561
-21.0,843,112.504326
-21.0,850,145.256833
-21.0,823,178.207579
-21.0,808,209.595772
-21.0,786,240.295809
-21.0,957,276.927189
-21.0,849,310.51864
-19.0,1176,356.092616
-20.0,886,390.808179
-20.0,1107,433.606668
-20.0,975,471.755594
-18.0,1196,518.128728
-20.0,924,554.517788
-20.0,1019,593.830834
-19.0,993,632.531397
-20.0,1284,682.431117
-20.0,1271,732.81765
-20.0,1437,788.81544
-20.0,1480,846.005145
-17.0,1680,911.503107
-14.0,1785,980.30846
-8.0,2402,1073.403925
-7.0,2254,1160.894392
-5.0,2947,1274.705503
-2.0,3646,1417.004911
20.0,1565,1477.117766
20.0,1992,1554.705675
17.0,1817,1625.949665
19.0,1630,1689.203071
15.0,2707,1793.728656
17.0,2149,1878.110467
16.0,1896,1951.823866
19.0,1632,2015.930705
17.0,1936,2090.206474
17.0,1798,2159.703325
17.0,1796,2229.302254
20.0,1567,2290.318013
19.0,1629,2353.559619
19.0,2050,2433.302483
19.0,1635,2497.801119
19.0,1635,2561.303522
17.0,2179,2646.201358
19.0,1633,2709.514301
20.0,2089,2790.516301
20.0,1990,2867.793536
20.0,1564,2928.577441
20.0,2003,3004.293496
17.0,2225,3088.005207
14.0,2239,3172.497215
11.0,2934,3282.332334
20.0,1589,3342.19318
20.0,1561,3400.806252
20.0,2003,3476.523558
19.0,1691,3540.411992
16.0,1933,3613.143051
20.0,2004,3688.119431
19.0,1629,3750.033138
20.0,1561,3809.323738
15.0,2063,3887.800733
19.0,1632,3949.702049
20.0,1567,4009.021112
19.0,1662,4072.516562
19.0,1632,4135.106359
19.0,1635,4191.904329
