#{"t_start": 1528286050.0384595, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,948,41.801466
-21.0,760,69.896401
-20.0,990,106.621416
-15.0,1327,154.621906
-21.0,866,186.998583
-21.0,824,217.119827
-21.0,781,246.396425
-21.0,850,277.623188
-21.0,1048,316.618566
-20.0,1045,354.828393
-21.0,947,390.206419
-20.0,1014,427.612779
-20.0,967,463.390752
-20.0,973,499.003636
-20.0,1018,536.597961
-19.0,1208,581.50306
-17.0,1596,639.924169
-18.0,1693,702.105246
-19.0,1697,765.703508
-20.0,1750,830.492742
-19.0,1838,899.02191
-15.0,2055,974.828508
-15.0,1941,1046.788726
-13.0,2462,1138.297744
-1.0,3336,1262.327457
12.0,2453,1353.424336
14.0,2122,1432.208021
18.0,1899,1502.320663
16.0,1964,1575.799237
18.0,1798,1641.727278
19.0,2051,1717.598683
19.0,1629,1777.118086
19.0,2042,1853.821311
20.0,1617,1913.284591
19.0,1836,1981.296271
17.0,2268,2065.505793
16.0,2262,2149.485363
16.0,2094,2227.099158
20.0,1565,2285.798332
17.0,2211,2367.230416
15.0,2553,2462.613076
20.0,2003,2536.297607
17.0,1910,2608.005243
16.0,2509,2701.123479
19.0,1691,2764.274315
19.0,2037,2839.316601
