#{"t_start": 1528301717.0056462, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,910,36.317137
-20.0,989,69.206537
-20.0,1088,105.177218
-21.0,940,136.617734
-20.0,1159,175.820976
-21.0,853,204.635457
-21.0,847,233.028691
-21.0,959,265.204751
-19.0,1142,303.310444
-20.0,841,331.319396
-21.0,1014,365.814903
-21.0,882,395.528992
-21.0,779,422.1454
-21.0,781,447.208688
-21.0,985,478.936444
-19.0,916,508.51124
-21.0,913,537.118009
-18.0,1136,574.243679
-19.0,1084,608.849884
-19.0,1283,650.394415
-18.0,1768,707.258686
-19.0,1549,756.342993
-11.0,2260,829.113357
-6.0,2744,916.311197
-20.0,1773,973.328667
13.0,2329,1047.927066
14.0,2208,1118.335616
-6.0,2636,1203.907821
6.0,2635,1290.607527
13.0,2545,1373.138432
19.0,1689,1427.124588
9.0,2776,1515.3076
15.0,2279,1589.306955
19.0,2062,1657.626629
13.0,2188,1728.109993
20.0,2001,1792.143746
12.0,2560,1874.117921
19.0,2052,1940.02828
11.0,2623,2024.030923
20.0,2011,2088.209583
20.0,1564,2138.22071
19.0,1685,2192.01565
15.0,2363,2266.817333
20.0,1564,2317.217124
18.0,2084,2383.7005
18.0,1852,2442.818527
20.0,1562,2492.941308
19.0,1657,2546.817647
20.0,1567,2596.444589
18.0,2117,2664.83105
20.0,2149,2733.825725
20.0,1563,2783.015588
20.0,1567,2833.318869
18.0,2067,2899.591227
20.0,1564,2949.315814
15.0,2193,3019.11023
19.0,1716,3074.123295
20.0,1995,3138.217041
20.0,2001,3202.403442
17.0,2137,3271.609562
19.0,2084,3338.328297
15.0,1858,3398.219804
16.0,2166,3467.425328
15.0,2474,3546.9304
17.0,2222,3619.241814
19.0,1786,3676.128061
20.0,2059,3743.417155
20.0,2006,3807.926745
19.0,1629,3860.886178
16.0,2649,3945.618089
19.0,2081,4014.116934
