#{"t_start": 1529017301.3992171, "env_id": "CartPole-v0"}
r,l,t
41.0,41,3.545202
47.0,47,3.601061
26.0,26,3.630869
18.0,18,3.651377
29.0,29,3.685197
14.0,14,3.702994
9.0,9,3.713474
22.0,22,5.20442
18.0,18,5.226989
15.0,15,5.244187
16.0,16,5.262949
25.0,25,5.295014
35.0,35,5.334731
34.0,34,5.374674
59.0,59,6.908205
30.0,30,6.94676
38.0,38,6.99562
53.0,53,7.059803
41.0,41,7.109346
54.0,54,8.567512
59.0,59,8.645822
62.0,62,8.723037
52.0,52,8.782982
59.0,59,10.229194
74.0,74,10.312171
54.0,54,10.372816
43.0,43,12.14991
184.0,184,13.537623
150.0,150,13.718972
200.0,200,15.414551
200.0,200,17.311467
187.0,187,19.165175
182.0,182,20.974886
135.0,135,22.905807
200.0,200,24.634568
200.0,200,26.363493
200.0,200,28.114235
200.0,200,29.798641
200.0,200,31.597539
200.0,200,33.385753
200.0,200,35.19977
159.0,159,36.953644
199.0,199,38.883516
190.0,190,40.723878
200.0,200,42.434078
174.0,174,42.646605
193.0,193,44.441501
189.0,189,46.26856
200.0,200,47.958188
200.0,200,49.650723
200.0,200,51.411208
200.0,200,53.113067
200.0,200,54.888337
200.0,200,56.604537
200.0,200,58.309213
200.0,200,60.045309
200.0,200,61.712857
188.0,188,63.366299
200.0,200,65.071108
200.0,200,66.881521
200.0,200,68.739568
200.0,200,70.733275
200.0,200,72.536247
200.0,200,74.273216
200.0,200,76.071044
200.0,200,77.758463
200.0,200,79.314783
200.0,200,81.106017
200.0,200,82.849178
200.0,200,84.683009
200.0,200,86.422845
200.0,200,87.97166
200.0,200,89.731737
200.0,200,91.428337
200.0,200,93.166388
200.0,200,94.876012
200.0,200,96.602952
200.0,200,98.267667
200.0,200,100.001524
200.0,200,101.735234
200.0,200,103.490609
200.0,200,105.249361
200.0,200,107.050614
200.0,200,108.841886
200.0,200,110.808747
200.0,200,112.684639
200.0,200,114.514893
200.0,200,116.282807
200.0,200,118.02734
200.0,200,119.769559
200.0,200,121.602963
200.0,200,123.536611
200.0,200,125.431079
200.0,200,127.333471
200.0,200,129.091484
200.0,200,130.873073
200.0,200,132.637372
200.0,200,134.396914
200.0,200,136.267991
200.0,200,138.044146
200.0,200,139.905108
200.0,200,141.767044
200.0,200,143.526947
200.0,200,145.357214
200.0,200,147.310487
200.0,200,149.022297
200.0,200,150.804633
200.0,200,152.668586
200.0,200,154.459287
200.0,200,156.393412
200.0,200,158.212777
200.0,200,159.983876
200.0,200,161.796886
200.0,200,163.78703
200.0,200,165.682286
200.0,200,167.460386
200.0,200,169.263941
200.0,200,171.093323
200.0,200,172.924875
200.0,200,174.855653
200.0,200,176.813294
200.0,200,178.700722
200.0,200,180.62774
200.0,200,182.523673
200.0,200,184.602232
200.0,200,186.423
200.0,200,188.269893
200.0,200,190.031002
200.0,200,191.748168
200.0,200,193.553821
200.0,200,195.353889
200.0,200,197.045748
200.0,200,198.741022
200.0,200,200.496264
200.0,200,202.37475
200.0,200,204.229957
200.0,200,206.231827
200.0,200,208.217412
200.0,200,210.107723
200.0,200,212.056846
200.0,200,213.911848
200.0,200,215.729303
200.0,200,217.423933
200.0,200,219.205881
200.0,200,221.004061
200.0,200,222.945202
200.0,200,224.765942
200.0,200,226.558569
