#{"t_start": 1529025301.591424, "env_id": "CartPole-v0"}
r,l,t
35.0,35,3.748844
11.0,11,3.762028
44.0,44,3.820103
18.0,18,3.842881
24.0,24,3.872029
23.0,23,3.899655
20.0,20,3.934575
12.0,12,3.948568
51.0,51,5.587099
23.0,23,5.62599
31.0,31,5.663536
27.0,27,5.696079
19.0,19,5.731681
42.0,42,5.780666
17.0,17,5.802361
42.0,42,7.479848
35.0,35,7.538738
51.0,51,7.644402
61.0,61,7.737788
101.0,101,9.456637
31.0,31,9.498135
74.0,74,9.603138
27.0,27,11.253798
61.0,61,11.345604
113.0,113,11.505701
126.0,126,13.65887
113.0,113,15.431712
183.0,183,17.394238
123.0,123,17.577948
141.0,141,19.357416
200.0,200,21.286727
200.0,200,22.99694
200.0,200,24.947139
200.0,200,26.868379
175.0,175,28.966142
200.0,200,30.893892
200.0,200,32.845452
200.0,200,34.747619
200.0,200,36.693376
191.0,191,38.73345
179.0,179,40.711908
187.0,187,42.669299
200.0,200,44.464378
185.0,185,44.736703
200.0,200,46.72264
186.0,186,48.796911
197.0,197,50.860379
200.0,200,52.89858
200.0,200,54.962472
200.0,200,57.197855
200.0,200,59.086613
200.0,200,60.959272
200.0,200,62.831642
200.0,200,64.680467
200.0,200,66.555715
185.0,185,68.539777
200.0,200,70.568048
200.0,200,72.599258
171.0,171,74.49316
200.0,200,76.454029
200.0,200,78.426909
200.0,200,80.258236
200.0,200,82.241467
200.0,200,84.121909
200.0,200,86.059358
200.0,200,87.983531
200.0,200,90.080047
200.0,200,92.073375
200.0,200,94.257905
200.0,200,96.196319
200.0,200,98.142908
200.0,200,100.191317
200.0,200,102.380561
200.0,200,104.568415
200.0,200,106.555757
200.0,200,108.506509
200.0,200,110.382938
200.0,200,112.384195
200.0,200,114.364263
200.0,200,116.297447
200.0,200,118.381053
200.0,200,120.388895
200.0,200,122.28815
200.0,200,124.322535
200.0,200,126.540917
200.0,200,128.395434
200.0,200,130.392552
200.0,200,132.302071
200.0,200,134.236346
200.0,200,136.200734
200.0,200,138.084969
200.0,200,140.086908
200.0,200,141.989904
200.0,200,143.804696
200.0,200,145.729357
200.0,200,147.681782
200.0,200,149.62458
