#{"t_start": 1529016175.3096423, "env_id": "CartPole-v0"}
r,l,t
21.0,21,4.222907
15.0,15,4.24307
17.0,17,4.264765
41.0,41,4.316491
41.0,41,4.366169
63.0,63,4.442099
35.0,35,5.922185
29.0,29,5.9567
20.0,20,5.980772
31.0,31,6.019687
43.0,43,6.071445
51.0,51,7.440807
69.0,69,7.531383
17.0,17,7.553531
49.0,49,7.613108
79.0,79,9.209725
40.0,40,9.270434
90.0,90,9.405118
180.0,180,11.075062
97.0,97,12.608767
200.0,200,14.288083
200.0,200,15.987966
200.0,200,17.551717
200.0,200,19.161699
200.0,200,20.711164
200.0,200,22.590774
200.0,200,24.234479
200.0,200,26.019394
200.0,200,27.791352
200.0,200,29.485665
200.0,200,31.325822
200.0,200,32.8319
200.0,200,34.512022
200.0,200,36.288789
200.0,200,37.945506
200.0,200,39.700099
200.0,200,41.367705
185.0,185,42.976982
189.0,189,44.549264
200.0,200,46.116039
200.0,200,47.74792
200.0,200,49.375831
200.0,200,51.004292
200.0,200,52.812989
200.0,200,54.436769
200.0,200,56.031737
200.0,200,57.640867
200.0,200,59.259534
200.0,200,60.889596
200.0,200,62.696601
200.0,200,64.303269
200.0,200,66.003737
200.0,200,67.591992
200.0,200,69.177759
200.0,200,70.766286
200.0,200,72.244547
200.0,200,73.74334
200.0,200,75.323586
200.0,200,76.891721
200.0,200,78.441451
200.0,200,80.064281
200.0,200,81.696637
160.0,160,81.898416
181.0,181,83.537355
185.0,185,85.00287
200.0,200,86.515172
200.0,200,88.049862
200.0,200,89.626205
200.0,200,91.231191
200.0,200,93.122042
200.0,200,94.749981
200.0,200,96.477148
200.0,200,98.218287
200.0,200,99.978296
200.0,200,101.623138
200.0,200,103.281134
200.0,200,104.94871
200.0,200,106.573959
200.0,200,108.248737
200.0,200,109.847702
200.0,200,111.382992
200.0,200,113.019315
200.0,200,114.622682
200.0,200,116.246792
200.0,200,117.887947
200.0,200,119.493312
200.0,200,121.18656
200.0,200,122.882292
200.0,200,124.544868
200.0,200,126.194764
200.0,200,127.798388
200.0,200,129.428164
200.0,200,131.188506
200.0,200,132.91358
200.0,200,134.700504
200.0,200,136.480306
200.0,200,138.153073
200.0,200,139.867407
200.0,200,141.572137
200.0,200,143.265269
200.0,200,144.871034
200.0,200,146.579244
200.0,200,147.828978
200.0,200,149.534984
200.0,200,151.209929
200.0,200,153.080269
200.0,200,154.767004
200.0,200,156.464768
200.0,200,158.065635
200.0,200,159.839048
200.0,200,161.468372
200.0,200,163.057466
200.0,200,164.660511
200.0,200,166.236862
200.0,200,167.832884
200.0,200,169.471436
200.0,200,171.093031
200.0,200,172.729207
200.0,200,174.499199
200.0,200,176.201367
200.0,200,177.829713
200.0,200,179.40847
200.0,200,181.026823
200.0,200,182.824823
200.0,200,184.455888
200.0,200,186.115966
200.0,200,187.730187
200.0,200,189.409847
200.0,200,191.127965
200.0,200,192.768767
200.0,200,194.271891
66.0,66,194.357593
200.0,200,195.812906
200.0,200,197.525135
200.0,200,199.245965
200.0,200,200.834064
200.0,200,202.407871
174.0,174,203.892374
200.0,200,205.406128
200.0,200,206.95028
114.0,114,208.386683
