#{"t_start": 1529025170.281488, "env_id": "CartPole-v0"}
r,l,t
18.0,18,3.813656
30.0,30,3.863916
17.0,17,3.882612
52.0,52,3.952199
9.0,9,3.962406
54.0,54,4.02685
39.0,39,5.471759
60.0,60,5.55477
39.0,39,5.605237
24.0,24,5.639594
11.0,11,5.654051
21.0,21,5.682147
12.0,12,5.697883
20.0,20,6.998325
70.0,70,7.096476
61.0,61,7.187914
52.0,52,7.26072
74.0,74,8.704217
116.0,116,8.89256
76.0,76,10.306196
124.0,124,10.521011
200.0,200,12.059215
200.0,200,13.752288
200.0,200,15.376623
200.0,200,17.044945
200.0,200,18.649155
200.0,200,20.125053
200.0,200,22.015837
200.0,200,23.679411
200.0,200,25.242595
200.0,200,26.771985
200.0,200,28.366079
200.0,200,29.901967
200.0,200,31.325707
200.0,200,32.84328
200.0,200,34.389369
200.0,200,36.007858
200.0,200,37.602315
200.0,200,39.207873
143.0,143,40.737606
165.0,165,42.392013
200.0,200,44.034161
200.0,200,45.796144
200.0,200,47.391133
200.0,200,49.013677
200.0,200,50.484272
200.0,200,52.047086
200.0,200,53.658551
200.0,200,55.281579
200.0,200,56.874505
200.0,200,58.33782
200.0,200,59.94403
200.0,200,61.550421
200.0,200,63.078879
200.0,200,64.605175
200.0,200,66.160916
200.0,200,67.717841
200.0,200,69.221836
200.0,200,70.629776
200.0,200,72.137855
200.0,200,73.692301
200.0,200,75.20552
143.0,143,76.694675
142.0,142,76.87982
195.0,195,78.522274
194.0,194,80.108456
200.0,200,81.620333
200.0,200,83.242347
200.0,200,84.867647
200.0,200,86.498624
200.0,200,88.280534
200.0,200,90.018853
200.0,200,91.769226
200.0,200,93.398563
200.0,200,94.944104
200.0,200,96.504039
200.0,200,98.08627
200.0,200,99.639779
200.0,200,101.19042
200.0,200,102.827151
200.0,200,104.398457
200.0,200,106.022898
200.0,200,107.582445
200.0,200,109.130788
200.0,200,110.996036
200.0,200,112.634591
200.0,200,114.223574
200.0,200,115.88973
200.0,200,117.558417
200.0,200,119.058663
200.0,200,120.6031
200.0,200,122.144343
