#{"t_start": 1528342950.031129, "env_id": "HalfCheetah-v2"}
r,l,t
-906.329863,1000,5.626544
-880.642264,1000,6.869206
-862.657439,1000,9.831376
-833.640318,1000,11.057075
-865.845186,1000,14.048041
-769.22833,1000,15.18306
-849.457025,1000,18.164371
-817.054495,1000,19.23067
-818.930595,1000,22.202903
-690.755966,1000,23.342539
-829.538487,1000,26.479444
-845.034685,1000,27.638461
-830.946906,1000,30.560277
-740.130119,1000,31.867867
-895.180076,1000,34.993859
-869.857927,1000,36.179873
-741.135777,1000,39.243855
-890.915377,1000,40.639577
-848.430983,1000,43.773452
-752.218271,1000,45.0042
-688.181245,1000,48.066256
-777.865363,1000,49.214032
-749.838666,1000,52.17697
-777.86814,1000,53.37246
-703.348642,1000,56.407252
-664.376851,1000,57.561701
-716.604524,1000,60.547817
-819.977865,1000,61.662271
-705.828931,1000,64.487297
-698.683798,1000,65.640285
-874.153766,1000,68.657303
-754.273178,1000,69.758
-785.408938,1000,72.693659
-742.600976,1000,73.776004
-720.688053,1000,76.679426
-708.366522,1000,77.733326
-791.993887,1000,80.610309
-786.689032,1000,81.731592
-511.128602,1000,84.599243
-721.189018,1000,85.6664
-701.538362,1000,88.51085
-643.540784,1000,89.582828
-683.814591,1000,90.641243
-567.566614,1000,93.534726
-498.615126,1000,94.669226
-613.87499,1000,97.634585
-737.287525,1000,98.702813
-743.877341,1000,101.575505
-786.020469,1000,102.62283
-660.74812,1000,105.71724
-681.604457,1000,107.079624
-714.274569,1000,110.181737
-617.475818,1000,111.284473
-739.581687,1000,114.388587
-530.525328,1000,115.789258
-585.369736,1000,118.637616
-716.204002,1000,119.789886
-668.213587,1000,122.635575
-533.506601,1000,123.796125
-656.075058,1000,126.779005
-710.123158,1000,127.877547
-623.092396,1000,130.737314
-580.894181,1000,132.144532
-637.826903,1000,135.528992
-527.367942,1000,136.673465
-542.787488,1000,139.304125
-494.978914,1000,140.423685
-479.996953,1000,143.59872
-578.60667,1000,144.697548
-542.643352,1000,147.684951
-578.592899,1000,148.82566
-569.164456,1000,151.781513
-427.26933,1000,152.933991
-522.293153,1000,155.896394
-650.267575,1000,157.016749
-613.861637,1000,159.963932
-591.2087,1000,161.02007
-434.85937,1000,163.936183
-638.573976,1000,165.04444
