#{"t_start": 1528354301.8170621, "env_id": "HalfCheetah-v2"}
r,l,t
-893.927799,1000,22.287644
-704.239081,1000,41.420967
-505.844876,1000,59.49848
-316.846447,1000,77.685095
-139.298122,1000,95.753224
-65.775261,1000,111.863382
97.810428,1000,129.671676
235.844874,1000,149.101862
267.485728,1000,167.352623
285.317347,1000,185.674676
419.294445,1000,202.70913
452.928465,1000,221.591463
491.619314,1000,240.080323
566.04553,1000,259.330374
653.195707,1000,278.323858
512.90542,1000,294.397423
684.53532,1000,313.259266
747.204181,1000,332.369027
851.38125,1000,351.258945
796.291125,1000,370.584002
902.050606,1000,389.46392
593.261106,1000,406.782753
981.130994,1000,425.60877
998.351894,1000,444.877661
759.528407,1000,464.541306
1069.526875,1000,483.666198
1148.889773,1000,500.963933
980.60778,1000,519.340271
786.416665,1000,537.60473
894.722501,1000,555.461006
880.824704,1000,574.367823
749.477802,1000,590.58077
1025.469927,1000,609.802122
787.109384,1000,628.770036
1013.756657,1000,646.966808
977.615762,1000,665.714358
955.101388,1000,684.152854
868.106604,1000,700.626587
676.963864,1000,718.735797
1131.441352,1000,737.25797
1028.657629,1000,756.130909
1027.272816,1000,774.647304
1080.577624,1000,791.624004
1062.720655,1000,810.40593
1128.903045,1000,829.919218
1159.449926,1000,849.904806
1103.949856,1000,869.70952
1053.786772,1000,886.849433
1096.774355,1000,906.039628
1087.044366,1000,924.77801
1127.254873,1000,943.603595
1065.144179,1000,963.088407
1038.019971,1000,982.108097
1034.273778,1000,998.949692
971.030827,1000,1017.936446
1208.468948,1000,1036.315787
1143.158709,1000,1054.754731
1428.43488,1000,1073.310647
1045.095852,1000,1090.303841
1012.111868,1000,1111.882223
1085.622165,1000,1130.718979
869.204501,1000,1149.580775
1051.066192,1000,1168.764979
1020.192803,1000,1185.69655
1056.201996,1000,1205.07196
1148.573777,1000,1223.63343
1018.360524,1000,1242.900678
982.872548,1000,1265.025856
1037.803534,1000,1284.603199
1104.702995,1000,1307.156458
1159.924717,1000,1326.313031
1013.262235,1000,1345.952503
1154.530766,1000,1365.866988
1078.659567,1000,1385.250029
1041.559772,1000,1402.333002
1054.105084,1000,1421.078573
1066.537461,1000,1441.909789
1056.117397,1000,1460.457422
975.013108,1000,1478.785168
619.769595,1000,1496.141252
1098.613801,1000,1514.713235
980.71836,1000,1533.596219
1065.64147,1000,1552.267297
1101.224807,1000,1570.906169
1114.450044,1000,1589.462374
1099.6659,1000,1606.369575
1061.570294,1000,1625.524423
1104.234557,1000,1645.439343
971.081052,1000,1664.893516
1176.597592,1000,1684.873563
1142.41086,1000,1702.472765
1151.687923,1000,1722.027779
1100.686106,1000,1741.144217
851.993971,1000,1760.081754
914.671511,1000,1779.8812
1078.679539,1000,1796.743936
1096.812662,1000,1815.410781
1138.082116,1000,1834.557737
1071.493566,1000,1854.276387
888.649649,1000,1873.128769
1237.366202,1000,1892.169106
1244.985,1000,1915.744618
1091.925278,1000,1934.842164
1061.443191,1000,1953.602871
1173.926439,1000,1972.098794
1170.980103,1000,1993.513717
939.981171,1000,2010.391242
1127.662316,1000,2029.327108
482.566563,1000,2048.83988
1019.555081,1000,2068.13318
1109.470614,1000,2086.768946
928.533306,1000,2103.341477
1002.869235,1000,2127.27845
1111.704332,1000,2145.787594
1049.116983,1000,2164.289778
1101.612808,1000,2186.708467
1196.604276,1000,2206.636839
1087.950231,1000,2223.543691
1115.514399,1000,2242.74543
1070.229611,1000,2261.908079
920.644088,1000,2281.055722
1249.533821,1000,2299.839952
1089.650673,1000,2316.505967
1123.437173,1000,2335.423269
