#{"t_start": 1528335126.4678473, "env_id": "HalfCheetah-v2"}
r,l,t
-906.329863,1000,5.50413
-880.642264,1000,6.582258
-861.491409,1000,9.510326
-750.786057,1000,10.637185
-845.937845,1000,13.624537
-799.058851,1000,14.75244
-811.992977,1000,17.776196
-705.411541,1000,18.850922
-800.667476,1000,21.694695
-709.584116,1000,22.813161
-858.100886,1000,25.737908
-735.715219,1000,26.833734
-741.432331,1000,29.641772
-679.698787,1000,30.705193
-749.523289,1000,33.591522
-671.330432,1000,34.67537
-690.872406,1000,37.780375
-694.950323,1000,38.870215
-618.284891,1000,41.740299
-649.06595,1000,42.814216
-521.803704,1000,45.865962
-578.291876,1000,47.238773
-554.309919,1000,50.163044
-588.502952,1000,51.250441
-722.147544,1000,54.19535
-591.901565,1000,55.267453
-651.869327,1000,58.20773
-635.644105,1000,59.281907
-578.795748,1000,62.288505
-595.195658,1000,63.342031
-672.985877,1000,66.321123
-506.597896,1000,67.418881
-549.414166,1000,70.482013
-478.545911,1000,71.634461
-613.870442,1000,74.431973
-524.262197,1000,75.64887
-478.378144,1000,78.672369
-459.001027,1000,79.837009
-454.957215,1000,82.847363
-460.134155,1000,84.046009
-421.397176,1000,87.058056
-404.467902,1000,88.23053
-411.70622,1000,89.358028
-329.668882,1000,92.448831
-415.591115,1000,93.635907
-370.604321,1000,96.747779
-294.814003,1000,97.957827
-460.029453,1000,100.942704
-412.085039,1000,102.112026
-310.929713,1000,105.276789
-402.084205,1000,106.481738
-439.071827,1000,109.516261
-295.98944,1000,110.606275
-245.65676,1000,113.798007
-293.549334,1000,114.918315
-268.479689,1000,117.77784
-378.14483,1000,118.889754
-240.36121,1000,121.96839
-201.864972,1000,123.159464
-272.512149,1000,126.398016
-265.90233,1000,127.595637
-220.515281,1000,130.826826
-283.558162,1000,131.868191
-220.7892,1000,134.807915
-202.59148,1000,135.907755
-182.666447,1000,139.018032
-186.651572,1000,140.33957
-226.511866,1000,143.322865
-202.837742,1000,144.461778
-199.492076,1000,147.40398
-202.570513,1000,148.415872
-190.0238,1000,151.43062
-179.58565,1000,152.464723
-110.042092,1000,155.421615
-193.230675,1000,156.440145
-191.505085,1000,159.401363
-110.772332,1000,160.440013
-104.371737,1000,163.238075
-166.388119,1000,164.506701
-34.233104,1000,167.620409
-135.898231,1000,168.648707
-132.330015,1000,171.487056
-16.605822,1000,172.531787
-43.062153,1000,175.246479
-96.463818,1000,176.296998
-35.488983,1000,177.368651
-19.335285,1000,180.130188
-1.145436,1000,181.210451
135.696773,1000,184.080058
124.816081,1000,185.088953
-480.323861,1000,187.997196
52.129322,1000,189.10267
71.570896,1000,191.783628
82.15859,1000,192.780032
49.937485,1000,195.493099
67.416264,1000,196.492004
112.602177,1000,199.450414
157.830873,1000,200.779272
151.876416,1000,203.685392
161.29369,1000,204.698899
114.823488,1000,207.426459
144.074193,1000,208.42873
84.478136,1000,210.971215
168.190139,1000,211.990967
149.732236,1000,214.842906
139.385166,1000,215.875871
234.356046,1000,218.751756
242.810517,1000,219.789739
183.822936,1000,222.453053
157.719413,1000,223.56737
255.161351,1000,226.39445
187.012113,1000,227.393126
223.347261,1000,230.130861
221.749125,1000,231.141028
144.511853,1000,233.930594
73.68951,1000,234.959224
146.366437,1000,237.850243
314.321384,1000,238.870762
210.693485,1000,241.797301
301.904898,1000,242.807357
360.042111,1000,245.565959
227.555635,1000,246.571092
307.520785,1000,249.536434
271.887451,1000,250.638883
287.189156,1000,253.460204
322.603854,1000,254.481054
267.314344,1000,257.291264
331.759665,1000,258.328187
335.24382,1000,259.337379
373.027053,1000,262.084805
391.082062,1000,263.116848
368.450387,1000,265.903883
366.113369,1000,266.941318
361.194663,1000,269.935667
345.401208,1000,270.992198
374.360595,1000,273.744038
531.169304,1000,274.752813
482.966415,1000,277.502186
486.052409,1000,278.490919
477.493792,1000,281.490224
424.757346,1000,282.664711
