#{"t_start": 1528305814.8590748, "env_id": "PongNoFrameskip-v4"}
r,l,t
-18.0,1034,12.613037
-21.0,809,17.851334
-20.0,966,24.480754
-20.0,1034,31.543286
-19.0,1056,38.867304
-21.0,939,45.262714
-21.0,783,50.476973
-19.0,1173,58.378694
-21.0,846,64.350589
-20.0,948,70.830438
-21.0,845,76.372151
-21.0,942,82.180667
-21.0,757,86.904183
-21.0,877,93.847223
-21.0,843,100.167091
-20.0,832,107.01345
-20.0,916,114.277732
-20.0,837,120.798119
-20.0,835,126.891149
-21.0,851,133.223942
-20.0,835,139.544806
-20.0,1018,147.201904
-20.0,924,154.174648
-21.0,823,160.875521
-21.0,946,167.784948
-21.0,878,174.306915
-20.0,1103,182.506231
-21.0,907,189.268846
-21.0,1005,196.826846
-20.0,897,203.191774
-21.0,999,210.471311
-20.0,836,216.870398
-21.0,843,223.215553
-21.0,791,229.457926
-20.0,835,235.287946
-20.0,835,241.745989
-19.0,1088,249.823431
-21.0,927,256.641502
-19.0,979,263.858547
-20.0,878,270.457865
-21.0,805,276.358141
-21.0,820,282.420461
-20.0,875,288.865658
-21.0,804,295.159647
-20.0,954,302.09555
-20.0,971,309.233961
-20.0,1111,317.427011
-21.0,835,323.472474
-21.0,1061,330.833819
-21.0,837,336.783448
-21.0,776,342.612584
-21.0,873,348.735379
-21.0,821,354.783849
-21.0,805,360.279309
-21.0,885,366.434495
-20.0,964,373.063472
-20.0,928,379.914518
-20.0,902,386.397164
-20.0,857,392.267225
-21.0,888,398.564999
-21.0,870,404.791818
-21.0,779,410.338101
-21.0,820,416.453177
-20.0,841,422.385479
-21.0,757,427.848378
-20.0,977,434.918433
-20.0,1043,442.34294
-21.0,886,448.672934
-21.0,1121,456.240742
-21.0,911,462.785777
-21.0,881,469.086887
-21.0,823,475.146343
-20.0,1041,482.629006
-20.0,856,488.704886
-20.0,1219,497.266098
-18.0,1110,505.253731
-21.0,764,510.68051
-20.0,1042,517.953784
-21.0,907,524.299772
-18.0,1083,531.80908
-20.0,971,538.714341
-21.0,984,545.624676
-21.0,883,551.547539
-20.0,1169,560.376242
-21.0,819,566.245213
-21.0,934,572.757533
-19.0,981,579.895447
-20.0,922,586.432807
-21.0,849,592.666445
-20.0,892,599.173629
-21.0,967,605.899225
-21.0,1073,613.681768
-20.0,927,620.250552
-20.0,1106,628.019833
-20.0,917,634.993249
-19.0,977,641.957643
-19.0,1056,649.47993
-21.0,781,655.184443
-20.0,966,661.940207
-21.0,818,667.933114
-21.0,777,673.684248
-18.0,1220,682.757916
-20.0,954,689.754777
-21.0,849,696.334512
-20.0,987,704.039667
-20.0,835,710.045551
-21.0,821,716.119537
-21.0,821,722.033961
-20.0,836,728.325876
-20.0,838,734.299436
-21.0,791,739.836496
-21.0,908,746.298907
-21.0,973,753.59165
-21.0,847,759.7426
-19.0,966,766.719503
-21.0,825,772.428268
-20.0,1095,780.279173
-21.0,1005,787.508414
-21.0,970,794.141779
-21.0,927,801.497802
-21.0,1033,809.100119
-20.0,974,816.248058
-21.0,1172,824.648405
-20.0,841,831.181201
-21.0,814,837.03752
-21.0,775,842.774558
-21.0,973,850.159241
-20.0,987,857.456232
-20.0,998,864.474985
-19.0,1113,872.946537
-21.0,943,879.44591
-21.0,822,885.585371
-21.0,971,892.474972
-20.0,1005,899.694775
-21.0,953,906.649761
-19.0,1100,914.661428
-20.0,1000,922.70042
-21.0,796,928.410742
-21.0,1003,935.998938
-20.0,1098,944.042485
-20.0,919,950.84935
-18.0,1084,958.403233
-20.0,983,965.695702
-21.0,930,972.452341
-17.0,1189,980.945404
-21.0,1056,988.796581
-21.0,851,994.699467
-19.0,1103,1002.958559
-20.0,888,1009.482683
-20.0,893,1015.76876
-20.0,977,1022.832409
-20.0,1071,1030.927045
-20.0,1034,1038.899687
-20.0,1197,1048.240254
-21.0,926,1054.948824
-18.0,1262,1064.6309
-21.0,961,1071.994839
-21.0,823,1078.000975
-20.0,1242,1087.244832
-20.0,953,1094.186478
-20.0,923,1100.806512
-18.0,1123,1109.211005
-20.0,1047,1116.82056
-21.0,932,1123.842122
-19.0,1041,1131.436866
-20.0,865,1137.871693
-20.0,886,1144.061015
-21.0,1084,1151.995125
-18.0,1132,1160.408965
-21.0,789,1166.174634
-21.0,946,1173.163574
-20.0,1076,1181.227465
-19.0,957,1187.985608
-18.0,1205,1196.911798
-19.0,1082,1205.124743
-20.0,914,1211.725298
-20.0,1124,1220.028252
-21.0,875,1226.521761
-20.0,945,1233.353963
-19.0,1243,1242.850336
-19.0,1001,1250.042953
-18.0,1119,1258.366339
-19.0,1103,1266.491654
-18.0,1094,1274.456668
-21.0,959,1281.560571
-21.0,1018,1288.943212
-20.0,1149,1297.311981
-18.0,1200,1306.084874
-18.0,1194,1315.09474
-19.0,1138,1323.495361
-20.0,1369,1333.425155
-21.0,1009,1340.949687
-20.0,1071,1348.80916
-21.0,1095,1356.670683
-21.0,937,1363.355382
-20.0,1193,1371.881706
-21.0,997,1379.231945
-18.0,1246,1388.638586
-18.0,1177,1397.366546
-20.0,1339,1407.422394
-20.0,909,1414.7652
-19.0,1003,1422.215808
-19.0,1164,1431.098959
-19.0,1140,1439.558294
