#{"t_start": 1528942320.1451392, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,913,12.741627
-19.0,961,20.794249
-21.0,958,29.152662
-21.0,909,36.980807
-21.0,992,45.210766
-21.0,869,52.951816
-20.0,956,61.511029
-21.0,910,69.370576
-19.0,976,77.699416
-20.0,866,85.366301
-21.0,840,93.014054
-21.0,849,100.289782
-21.0,808,107.569846
-21.0,780,114.980261
-20.0,839,122.710527
-20.0,955,131.796643
-21.0,848,139.258255
-20.0,834,147.479932
-20.0,838,155.090423
-21.0,822,172.873291
-21.0,866,180.516265
-21.0,930,189.701701
-20.0,989,198.455332
-20.0,1043,208.103196
-21.0,874,217.990638
-21.0,942,227.330676
-19.0,1095,237.849643
-21.0,1027,248.200001
-21.0,818,256.154941
-21.0,818,263.591941
-21.0,824,271.168867
-21.0,879,279.263695
-21.0,859,287.602099
-20.0,898,295.822598
-20.0,1139,306.18527
-21.0,883,314.230889
-20.0,984,322.643117
-21.0,806,330.24001
-19.0,994,339.0835
-21.0,941,347.901082
-20.0,1047,357.403504
-20.0,953,366.322759
-18.0,1238,377.786872
-21.0,819,385.209176
-21.0,817,392.975111
-21.0,1123,403.044804
-20.0,1041,413.23614
-21.0,911,421.768933
-20.0,1015,431.310075
-20.0,1013,440.933844
-20.0,1003,449.947888
-19.0,979,458.859175
-21.0,974,467.898151
-21.0,884,475.73842
-21.0,819,483.510167
-20.0,1143,494.012535
-18.0,1170,504.606427
-21.0,848,511.918398
-21.0,779,519.487232
-21.0,928,528.152992
-19.0,1096,538.13982
-19.0,1043,547.92442
-20.0,1175,559.375613
-19.0,1073,568.817949
-20.0,915,577.244541
-20.0,1082,597.671002
-19.0,984,606.237024
-16.0,1386,619.153097
-21.0,916,627.508814
-20.0,1070,637.306682
-17.0,1128,646.998781
-15.0,1484,660.803077
-19.0,1077,670.541849
-21.0,866,678.290799
-19.0,1169,688.793214
-21.0,989,698.13643
-19.0,1651,713.544131
-13.0,1787,730.06099
-18.0,1473,743.423277
-14.0,1783,759.959429
-16.0,1844,776.922989
-17.0,1648,791.538923
-16.0,1856,808.800683
-15.0,2044,827.523355
-16.0,1803,843.998535
-18.0,1653,859.264821
-17.0,1642,874.721112
-15.0,2028,892.967484
-14.0,1999,911.655989
-14.0,2138,932.329245
-6.0,3004,959.002973
-9.0,2613,982.99051
-9.0,2526,1005.825832
-12.0,2436,1027.443167
-9.0,2324,1048.696236
-4.0,2805,1074.073839
-7.0,2685,1098.686214
9.0,2696,1123.192407
-5.0,2923,1150.221406
-7.0,3034,1178.44977
9.0,2517,1201.287041
8.0,2905,1228.539877
14.0,2307,1250.290694
11.0,2996,1278.546968
19.0,2045,1297.562212
6.0,3005,1325.219
3.0,3032,1353.990734
7.0,2952,1382.091464
7.0,2382,1403.416287
17.0,2158,1423.159575
20.0,2006,1441.723285
17.0,2189,1461.834621
16.0,1957,1480.05697
11.0,2620,1504.563542
14.0,2285,1525.325282
15.0,2035,1544.08455
20.0,1732,1560.101307
19.0,1652,1575.548973
19.0,2099,1594.582432
14.0,2755,1619.854102
17.0,1842,1636.60842
17.0,1964,1654.681403
15.0,2512,1678.39264
18.0,1671,1693.90752
19.0,2086,1713.084268
20.0,1991,1731.701143
19.0,1635,1746.725132
18.0,1967,1764.271404
20.0,1608,1778.723385
16.0,2176,1798.649893
19.0,1692,1814.8984
18.0,2122,1834.253038
11.0,2752,1859.753309
19.0,1644,1874.939777
20.0,2007,1892.978698
19.0,2081,1912.133785
20.0,2002,1930.930381
20.0,1561,1945.613294
16.0,1975,1964.67132
15.0,2266,1985.487413
14.0,2601,2010.33777
19.0,1848,2027.357152
20.0,1672,2042.878472
