#{"t_start": 1528943119.6325688, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,1017,24.321974
-21.0,779,38.699977
-19.0,1041,58.398009
-21.0,839,73.758281
-20.0,970,91.905262
-21.0,974,109.042361
-21.0,861,127.240211
-21.0,930,144.086357
-19.0,1034,163.905365
-21.0,790,177.849514
-20.0,990,196.420911
-21.0,985,214.385865
-18.0,1240,237.978252
-19.0,1116,258.26428
-20.0,1040,277.667097
-17.0,1394,303.130046
-19.0,1291,327.547363
-19.0,1165,348.385422
-20.0,1167,370.320971
-15.0,2000,407.385614
-13.0,1726,439.726685
-12.0,2076,478.068943
-7.0,2155,517.99094
-18.0,1541,546.874823
-13.0,2006,583.870492
-4.0,2523,629.933663
4.0,2374,673.966383
-15.0,1817,707.606807
-13.0,2113,747.001746
18.0,1767,780.006654
9.0,2407,824.549989
-8.0,2592,872.58784
15.0,1956,908.368084
20.0,1616,939.378649
1.0,2898,992.304124
19.0,1631,1022.764901
1.0,3041,1078.758222
2.0,3235,1139.122195
10.0,2668,1188.545654
