#{"t_start": 1529023469.7350407, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,761,35.770582
-21.0,786,64.201328
-21.0,761,91.787
-20.0,933,126.321603
-21.0,881,159.018659
-20.0,1097,199.11186
-20.0,939,234.032166
-21.0,912,267.998678
-21.0,785,297.120657
-20.0,1037,335.715496
-21.0,854,367.092385
-20.0,965,403.202262
-19.0,914,436.814377
-20.0,1098,477.256625
-20.0,989,513.353373
-20.0,990,549.339146
-21.0,1016,585.629179
-19.0,1419,636.572651
-20.0,1155,678.719689
-17.0,1408,730.416291
-17.0,1899,798.310443
-15.0,2000,870.411777
-9.0,2232,952.029905
-15.0,1846,1020.621181
-6.0,2553,1114.400947
-4.0,2664,1211.297625
19.0,1678,1271.824732
15.0,2348,1357.598228
20.0,1567,1412.50777
19.0,2112,1476.015593
20.0,2004,1537.869155
19.0,2044,1597.136049
16.0,2384,1677.391978
18.0,2118,1753.382937
17.0,1911,1815.113727
19.0,2088,1891.623471
18.0,2125,1968.727019
17.0,1853,2036.821493
20.0,1567,2093.545187
15.0,2166,2173.007135
12.0,2568,2265.321445
18.0,2305,2342.322192
19.0,2061,2410.999544
20.0,1994,2481.009253
20.0,1596,2537.697855
20.0,1562,2586.828912
19.0,1634,2646.408744
20.0,1992,2719.301218
19.0,1683,2780.499653
20.0,1626,2839.013108
21.0,1967,2911.821078
15.0,2357,2989.513931
18.0,1702,3051.119396
16.0,2114,3120.315963
20.0,1883,3189.01276
20.0,1997,3262.115581
20.0,2006,3336.09895
18.0,1961,3407.423735
19.0,2142,3485.425045
19.0,2179,3549.238609
20.0,2052,3613.81876
15.0,3389,3720.241137
20.0,1625,3771.82023
15.0,3062,3867.912672
18.0,2229,3937.621166
15.0,2770,4025.401225
18.0,2975,4118.928766
20.0,2793,4206.709271
15.0,2466,4283.920103
19.0,2152,4351.86876
18.0,2303,4432.688894
18.0,2228,4514.499051
20.0,2159,4594.703006
20.0,2238,4678.369925
20.0,2110,4756.621025
21.0,2814,4861.475824
19.0,2121,4940.61664
19.0,2847,5047.102818
19.0,2198,5129.382013
21.0,2817,5234.714572
19.0,2083,5314.414306
20.0,2790,5420.912573
20.0,1606,5481.415024
18.0,2300,5568.624358
19.0,2944,5680.700776
20.0,2005,5757.598197
16.0,2631,5857.566086
20.0,2094,5937.707062
8.0,3312,6066.29672
19.0,2900,6180.222993
20.0,2111,6261.825268
21.0,2814,6372.287656
20.0,2872,6484.192921
18.0,2837,6596.418372
19.0,2159,6680.828944
20.0,2756,6789.229485
21.0,2769,6899.221485
21.0,2821,7010.892452
19.0,2811,7124.036615
20.0,2004,7205.412963
20.0,2908,7326.125133
21.0,2768,7439.324022
20.0,1704,7507.524509
20.0,2828,7622.900322
20.0,2855,7740.41135
18.0,2830,7860.800042
20.0,2022,7945.594946
21.0,2573,8054.211717
19.0,2565,8160.222047
19.0,1744,8233.211474
20.0,2448,8334.299438
20.0,2445,8437.087035
18.0,2318,8532.40119
21.0,2363,8630.605385
17.0,2526,8735.659054
20.0,2137,8822.324034
18.0,2215,8914.119169
19.0,1852,8988.797595
20.0,2084,9076.20364
20.0,2129,9162.910487
18.0,2323,9251.112128
21.0,2298,9341.007567
20.0,2294,9427.909254
21.0,2350,9518.901387
19.0,1866,9590.024359
20.0,2349,9670.33276
19.0,2234,9742.433908
21.0,2284,9817.010424
20.0,1567,9868.821041
20.0,2331,9944.901761
21.0,2054,10011.619197
