#{"t_start": 1529011705.7556953, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,940,71.711827
-20.0,1100,146.498022
-20.0,1110,222.107546
-18.0,1357,311.616262
-18.0,1363,401.401226
-14.0,1538,501.300596
-18.0,1249,582.629054
-15.0,1530,681.242636
-18.0,1118,752.400112
-16.0,1844,869.52118
-18.0,1672,977.61636
-18.0,1508,1075.096274
-15.0,1701,1182.296992
-17.0,1174,1258.800276
-14.0,1617,1362.318233
-16.0,1414,1453.518529
-15.0,1582,1556.854249
-10.0,1946,1679.609706
-7.0,2148,1815.524508
-10.0,2119,1951.996207
-5.0,2457,2111.299323
-9.0,2104,2245.641759
-6.0,2216,2388.964699
-6.0,2423,2543.047459
4.0,2707,2714.531818
-3.0,2814,2897.618495
-6.0,2408,3060.530287
-8.0,2335,3205.234988
-9.0,2237,3350.197615
-3.0,2739,3525.722907
-6.0,2386,3679.997325
-14.0,1646,3785.022555
-4.0,2659,3957.905888
1.0,2833,4143.019355
13.0,2079,4274.102814
13.0,2158,4413.509377
5.0,2537,4577.629921
5.0,3006,4771.89962
9.0,2828,4955.490005
16.0,1916,5077.897921
18.0,1802,5194.109539
20.0,1661,5297.131322
1.0,2950,5484.298829
-6.0,2197,5623.226123
1.0,2897,5810.098104
11.0,2057,5942.496633
11.0,2034,6075.262899
16.0,1944,6201.499046
16.0,1915,6323.818272
19.0,1717,6436.418919
-21.0,824,6488.453018
16.0,2016,6621.890062
18.0,1774,6739.313913
-1.0,2657,6911.158332
-3.0,2807,7095.89122
11.0,2357,7248.310747
