#{"t_start": 1529019227.1563096, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,758,65.014626
-18.0,1056,148.444207
-19.0,957,224.301139
-20.0,835,291.339977
-21.0,759,350.536326
-19.0,1052,435.325803
-20.0,855,501.224343
-21.0,779,563.196205
-21.0,790,627.965531
-20.0,965,702.429898
-21.0,818,769.191884
-21.0,817,833.396545
-21.0,783,894.726292
-20.0,837,964.924418
-21.0,851,1032.914226
-21.0,820,1100.197563
-20.0,1018,1182.228702
-21.0,876,1251.733625
-18.0,985,1332.765743
-21.0,986,1408.94239
-21.0,939,1485.417397
-21.0,780,1547.103138
-21.0,973,1624.347776
-21.0,840,1690.904322
-21.0,812,1751.81955
-20.0,841,1816.418715
-21.0,790,1875.94226
-20.0,950,1949.908517
-20.0,944,2022.990051
-21.0,895,2091.036278
-20.0,925,2162.514038
-21.0,803,2223.740384
-21.0,813,2284.697961
-21.0,846,2352.026639
-19.0,1009,2429.742086
-21.0,791,2491.598365
-19.0,1021,2570.545433
-20.0,949,2643.536041
-21.0,932,2716.622042
-19.0,960,2791.519421
-21.0,822,2854.489974
-20.0,946,2927.812047
-20.0,944,3000.006413
-21.0,886,3068.601433
-21.0,782,3127.555348
-21.0,879,3195.229191
-19.0,1055,3276.928172
-20.0,888,3343.535976
-20.0,925,3414.920123
-20.0,1051,3495.650362
-19.0,1166,3585.111528
-21.0,910,3653.403092
-21.0,823,3717.945789
-20.0,916,3787.437857
-20.0,913,3855.317747
-19.0,980,3934.39843
-21.0,803,3996.405449
-20.0,935,4067.723606
-17.0,1222,4164.838098
-21.0,882,4232.990072
-20.0,1028,4314.79487
-20.0,1140,4405.189255
-19.0,947,4480.423743
-20.0,1002,4557.837689
-20.0,1009,4637.125279
-21.0,880,4706.689521
-20.0,944,4779.914969
-20.0,891,4851.079754
-21.0,902,4921.543035
-21.0,845,4989.089289
-20.0,1192,5085.103925
-21.0,897,5157.41414
-21.0,852,5226.84185
-20.0,838,5295.297938
-20.0,913,5372.234032
-21.0,852,5441.344545
-21.0,1213,5542.306629
-20.0,885,5615.526819
-21.0,912,5691.354757
-21.0,945,5768.921383
-19.0,1006,5852.690678
-20.0,839,5921.723033
-21.0,846,5990.243536
-21.0,968,6069.72014
-21.0,899,6143.658483
-21.0,880,6216.83198
-21.0,841,6286.525359
-20.0,908,6361.715765
-18.0,1332,6471.521992
-21.0,789,6536.055367
-19.0,1052,6620.711669
-21.0,914,6693.499468
-21.0,840,6761.124933
-21.0,824,6827.329331
-18.0,1057,6912.426608
-20.0,839,6978.020735
-19.0,1023,7060.050475
-20.0,927,7133.506489
-21.0,981,7212.03006
-20.0,940,7287.516039
-21.0,891,7358.837775
-21.0,857,7428.303926
-19.0,986,7507.114274
-18.0,1136,7599.574723
-20.0,891,7672.628509
-20.0,898,7744.22873
-21.0,928,7821.160132
-19.0,967,7898.235974
-21.0,820,7965.327389
-21.0,846,8034.031696
-21.0,882,8105.047851
-21.0,822,8172.332908
-21.0,862,8242.520192
-20.0,900,8317.523164
-21.0,788,8380.02966
-20.0,915,8455.340837
-20.0,985,8535.713586
-20.0,1013,8618.225345
-21.0,821,8682.942639
-20.0,864,8753.341615
-21.0,853,8822.198764
-20.0,990,8903.07185
-19.0,942,8979.91994
-20.0,921,9052.741348
-18.0,1207,9151.044283
-19.0,1111,9240.036
-21.0,878,9311.432245
-21.0,884,9382.935926
-21.0,1029,9464.813829
-21.0,871,9536.056027
-20.0,836,9605.565235
-20.0,852,9673.816699
-21.0,912,9748.961887
-20.0,839,9815.692088
-20.0,866,9888.525983
-21.0,806,9955.930758
-21.0,823,10024.60367
-20.0,993,10105.020996
-19.0,953,10182.726718
-18.0,1088,10270.796798
-20.0,896,10344.520132
-20.0,856,10416.453062
-20.0,837,10484.706616
-18.0,1240,10588.089626
-20.0,999,10671.437122
-20.0,1050,10759.956478
-21.0,822,10828.645732
-19.0,997,10910.108014
-19.0,998,10991.334578
-21.0,778,11054.574588
-21.0,778,11118.3095
-21.0,777,11180.05625
-19.0,1009,11262.789927
-20.0,830,11328.856788
-21.0,847,11398.25394
-17.0,1284,11504.60926
-20.0,927,11580.230687
-19.0,979,11658.789207
-20.0,985,11738.502841
-20.0,953,11816.399064
-19.0,1250,11920.615372
-20.0,958,11998.618973
-19.0,938,12074.619091
-19.0,975,12154.648314
-21.0,958,12232.729716
-19.0,1021,12317.154674
-21.0,879,12389.231267
-21.0,874,12459.640143
-20.0,976,12540.026407
-19.0,1000,12622.342481
-20.0,923,12698.034916
-21.0,880,12771.804558
-21.0,970,12851.214822
-21.0,838,12919.827138
-21.0,819,12986.740809
-20.0,915,13061.81861
-20.0,838,13131.124259
-20.0,1016,13216.732842
-19.0,1094,13308.489843
-20.0,876,13381.013844
-20.0,836,13450.811849
-20.0,1038,13537.554514
-21.0,1062,13626.038083
-20.0,866,13698.035855
-21.0,821,13766.000846
-18.0,1254,13870.554621
-19.0,920,13945.62957
-21.0,839,14015.810485
-21.0,814,14084.004547
