#{"t_start": 1528304218.9120777, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,962,11.116179
-21.0,760,16.539883
-21.0,822,22.433852
-18.0,1190,31.206626
-21.0,971,38.268796
-19.0,1051,45.840653
-20.0,960,52.89905
-21.0,761,58.616282
-21.0,1137,66.823979
-21.0,870,73.050473
-21.0,822,79.209519
-21.0,971,86.247889
-21.0,941,93.58421
-21.0,808,100.048382
-21.0,817,106.628099
-21.0,820,113.548177
-21.0,866,120.712633
-18.0,1026,129.210453
-21.0,820,135.869533
-21.0,779,142.204233
-21.0,821,148.772182
-21.0,907,156.227313
-21.0,849,163.256285
-21.0,941,170.742446
-21.0,882,177.943781
-19.0,934,185.984792
-18.0,986,193.767855
-21.0,780,200.21291
-21.0,877,207.548482
-21.0,776,213.841733
-21.0,1055,222.671619
-21.0,1034,231.214321
-21.0,781,237.76848
-21.0,820,244.32883
-21.0,883,251.666105
-21.0,808,258.033373
-19.0,1059,266.634802
-20.0,916,274.396277
-21.0,884,281.369407
-21.0,781,288.043129
-21.0,818,294.538955
-19.0,1155,304.129345
-21.0,850,311.299094
-19.0,968,319.22017
-20.0,1006,327.505077
-21.0,938,335.077516
-21.0,1020,343.417618
-21.0,837,350.307632
-20.0,921,357.988742
-21.0,987,366.198261
-21.0,1033,374.621939
-21.0,901,381.830596
-21.0,881,388.995812
-19.0,1049,397.441027
-21.0,763,403.627117
-20.0,946,411.187248
-20.0,962,419.364055
-20.0,911,426.94075
-20.0,1108,435.878452
-19.0,1064,444.784616
-19.0,1178,454.473788
-18.0,1157,464.039165
-21.0,848,470.876764
-17.0,1224,481.135466
-18.0,1392,492.630603
-19.0,1078,501.35269
-21.0,980,509.584508
-19.0,1028,518.067777
-20.0,1078,527.008333
-19.0,1460,539.237832
-18.0,1402,550.712128
-15.0,1603,563.699822
-18.0,1646,577.40696
-20.0,1350,588.438061
-18.0,1786,602.973054
-19.0,1774,617.655649
-19.0,1622,631.125151
-17.0,1990,647.397374
-16.0,2046,664.319191
-14.0,2403,684.204674
-16.0,2263,702.839285
-13.0,2772,725.764183
-13.0,2546,746.503562
-11.0,2749,769.169346
-15.0,2913,793.16871
-16.0,2952,817.099455
-16.0,2773,839.705054
-19.0,2483,860.110738
20.0,2113,877.181089
10.0,2945,901.305218
-15.0,3225,927.474059
-15.0,3228,954.224757
-10.0,3434,982.424516
-16.0,2566,1003.434309
-1.0,3841,1035.104175
-10.0,3584,1064.989051
-7.0,3538,1094.31194
21.0,1990,1111.011012
15.0,2316,1130.067726
7.0,2713,1152.408826
8.0,3207,1178.832949
19.0,1656,1192.416682
4.0,3285,1219.689745
17.0,2234,1238.299887
21.0,1987,1254.5682
19.0,2084,1272.114713
15.0,2479,1292.634639
19.0,2147,1310.377679
1.0,3347,1338.469379
19.0,1812,1353.706529
20.0,2006,1371.601821
20.0,2037,1388.82928
20.0,1990,1405.620732
16.0,2197,1423.702835
19.0,2160,1441.744575
20.0,1567,1454.634124
15.0,2206,1473.137046
20.0,2124,1490.548064
18.0,1757,1505.176721
20.0,1997,1521.234367
11.0,3093,1547.364399
14.0,2267,1566.404423
19.0,2112,1584.467857
17.0,2458,1605.135175
20.0,1994,1621.375394
20.0,1992,1638.633923
20.0,1567,1651.914527
21.0,1537,1664.895507
12.0,2288,1684.577031
18.0,2187,1703.134962
20.0,2003,1720.064527
17.0,1991,1736.497524
19.0,2135,1754.506316
19.0,2019,1771.59484
18.0,1932,1787.950367
20.0,2005,1804.75887
18.0,1900,1821.383558
21.0,1992,1838.290475
19.0,2206,1856.88091
21.0,1992,1873.720689
19.0,2079,1891.247181
21.0,1989,1907.680475
21.0,1988,1924.526642
18.0,2189,1942.968776
19.0,2029,1960.282374
16.0,2456,1981.586502
20.0,2003,1998.601689
20.0,1580,2011.984426
19.0,2075,2029.610596
13.0,3201,2056.811491
21.0,1970,2074.27799
19.0,1660,2088.732862
20.0,2003,2106.697079
