#{"t_start": 1528304218.977012, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,941,10.915809
-19.0,1020,18.29234
-21.0,823,24.10777
-20.0,990,31.386581
-20.0,1074,39.213082
-21.0,908,45.774335
-20.0,859,52.016919
-21.0,883,58.676935
-20.0,957,65.469074
-21.0,969,72.611037
-21.0,910,79.3225
-21.0,849,85.602344
-21.0,910,92.270565
-21.0,808,98.838083
-21.0,896,106.280119
-21.0,908,113.775142
-21.0,866,120.948578
-21.0,822,127.631077
-21.0,848,134.711372
-21.0,1092,143.497598
-18.0,1070,152.436938
-20.0,842,159.148769
-21.0,970,167.182219
-21.0,820,173.672235
-21.0,818,180.545367
-21.0,823,187.345689
-21.0,884,194.503006
-21.0,877,201.873867
-20.0,854,208.759356
-21.0,977,216.814447
-20.0,840,224.008911
-20.0,1077,232.556565
-21.0,824,239.358763
-21.0,821,246.202892
-20.0,898,253.566394
-20.0,1066,262.108725
-20.0,897,269.52122
-20.0,836,276.466364
-21.0,820,283.045112
-21.0,804,289.610311
-21.0,821,296.413742
-20.0,944,304.170807
-21.0,935,311.894314
-21.0,939,319.865403
-21.0,1014,328.201748
-20.0,948,335.854949
-20.0,1073,344.518619
-19.0,947,352.389056
-21.0,817,359.053983
-21.0,1076,367.860795
-19.0,1117,376.950122
-20.0,868,384.003998
-19.0,1117,393.165151
-19.0,979,400.913761
-20.0,1050,409.343006
-20.0,1031,418.205298
-18.0,1100,427.231158
-21.0,956,435.192361
-19.0,1233,445.181648
-18.0,1187,454.923153
-21.0,1066,463.904351
-20.0,1282,474.510854
-18.0,1198,484.32484
-18.0,1147,493.804895
-20.0,1043,502.287993
-19.0,1075,511.449471
-16.0,1365,522.536829
-21.0,1425,534.269387
-19.0,1299,544.908907
-21.0,989,553.170455
-19.0,1344,564.364062
-20.0,1232,574.342509
-19.0,1215,584.413435
-15.0,1691,598.261917
-16.0,1797,612.969037
-14.0,2181,631.090369
-19.0,1880,646.642292
-15.0,2271,665.262351
-15.0,2179,683.213707
-20.0,1983,699.544843
-21.0,1719,713.627641
-15.0,2439,733.841323
-16.0,2302,752.703052
-12.0,2823,775.738677
-18.0,2596,797.202589
8.0,3427,824.937885
-17.0,2568,845.867457
-19.0,2356,865.284859
-16.0,3186,891.34568
-20.0,2400,910.809442
-18.0,2842,934.209233
-17.0,2884,957.824354
15.0,2550,979.037689
-8.0,3335,1006.217544
-14.0,3083,1031.640505
-14.0,3241,1058.529924
-7.0,3654,1088.858874
3.0,3421,1117.255052
18.0,1810,1132.24577
19.0,1778,1146.972548
11.0,2511,1167.343864
17.0,2360,1187.013799
-6.0,2630,1209.013933
15.0,1883,1224.602411
21.0,1989,1240.768665
16.0,1914,1256.641039
20.0,1565,1269.770206
20.0,2002,1286.447333
14.0,2406,1306.288052
19.0,2075,1323.659079
14.0,2448,1343.970343
19.0,2114,1362.789328
17.0,1938,1379.343365
20.0,1562,1392.502466
10.0,3717,1423.557866
19.0,1962,1439.792321
20.0,1561,1453.023053
20.0,1632,1466.240274
20.0,2001,1483.080128
15.0,2156,1500.85168
16.0,1956,1516.749358
19.0,1635,1530.253511
21.0,1990,1546.873549
16.0,2257,1566.107929
20.0,2056,1583.545643
19.0,2242,1602.523888
16.0,1886,1617.931933
18.0,1955,1634.576538
20.0,1622,1648.544847
21.0,1992,1665.509857
19.0,1632,1679.37979
20.0,2007,1696.509243
18.0,2395,1716.835813
20.0,1563,1729.638357
20.0,2007,1746.619014
21.0,1987,1763.168314
21.0,1971,1780.184134
20.0,1561,1793.165339
18.0,2296,1812.771309
20.0,2005,1829.941206
17.0,1959,1846.661958
10.0,3454,1875.744566
20.0,1566,1888.967028
20.0,1627,1902.370252
20.0,2084,1919.908513
21.0,1992,1936.513775
19.0,1723,1951.277785
19.0,1633,1965.270451
18.0,2162,1984.018441
20.0,2036,2001.288355
19.0,2042,2018.751272
18.0,1963,2035.33919
18.0,2259,2054.525805
18.0,2347,2074.993576
19.0,1736,2090.527133
19.0,2211,2110.130061
