#{"t_start": 1528343084.6625817, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,846,11.754006
-19.0,931,19.29961
-20.0,959,27.363601
-21.0,1032,35.882699
-20.0,902,43.138622
-20.0,1046,51.522601
-21.0,788,58.377146
-21.0,783,65.446775
-21.0,781,72.460735
-21.0,880,80.485579
-20.0,958,89.309007
-21.0,818,96.707371
-20.0,841,104.47141
-20.0,832,111.694928
-20.0,1011,120.894808
-21.0,967,129.702305
-20.0,864,137.43651
-20.0,914,145.549338
-21.0,814,153.225506
-20.0,965,162.061115
-21.0,929,170.85497
-20.0,860,178.27061
-19.0,1064,187.9099
-20.0,867,195.260838
-20.0,923,203.363243
-21.0,836,210.938331
-21.0,971,219.640462
-21.0,823,227.043455
-21.0,825,234.33755
-19.0,937,243.018005
-20.0,964,251.331561
-20.0,977,260.033099
-21.0,937,268.316054
-20.0,1053,277.47147
-15.0,1279,288.821498
-20.0,1084,298.701873
-16.0,1463,311.411885
-19.0,1204,322.095042
-17.0,1578,335.701755
-18.0,1710,350.495681
-17.0,1599,364.734179
-8.0,2490,386.532608
-9.0,2461,407.860752
-4.0,2501,430.38838
14.0,1970,447.22655
-21.0,1440,459.948885
-18.0,1737,475.042051
-14.0,1996,492.626274
19.0,1668,507.607213
-11.0,2183,527.43785
-13.0,1876,543.57586
17.0,1723,558.886032
19.0,1631,573.390525
-1.0,3047,600.200438
20.0,1563,613.88284
-2.0,3087,641.421169
-8.0,2462,663.010876
-3.0,2889,688.556736
20.0,1566,702.660831
7.0,2775,727.11312
17.0,1755,742.846971
19.0,1631,757.552615
18.0,1930,774.571917
18.0,1768,790.480297
8.0,3063,817.451668
6.0,2750,842.499721
20.0,1563,856.625955
5.0,2774,881.616175
19.0,1689,896.704021
18.0,1764,912.516254
7.0,2850,938.052367
2.0,3342,968.371923
18.0,1763,984.440501
10.0,2833,1009.876938
20.0,1650,1025.384405
3.0,3477,1057.497924
6.0,3090,1085.663251
18.0,1763,1101.924978
10.0,2902,1128.009449
20.0,1651,1142.957451
9.0,2910,1169.303499
20.0,1561,1183.439695
18.0,1637,1198.268594
20.0,2061,1217.132911
18.0,1716,1233.039863
17.0,1749,1248.770751
20.0,2004,1267.614679
20.0,2007,1285.965218
20.0,2006,1304.275277
20.0,2007,1322.862946
19.0,1630,1337.726968
19.0,1633,1352.569693
20.0,2003,1371.429793
18.0,2185,1391.389225
20.0,1562,1405.820897
19.0,2088,1424.700044
20.0,2085,1444.317694
20.0,2001,1462.710048
20.0,1565,1477.822769
20.0,1731,1493.668122
16.0,1945,1511.676487
19.0,2232,1532.39436
19.0,2142,1551.939329
19.0,2188,1572.569444
19.0,1633,1587.825978
19.0,2212,1608.714732
19.0,2046,1627.433891
20.0,2029,1646.388353
19.0,1717,1663.17266
20.0,1594,1677.549969
19.0,2121,1697.40773
19.0,1849,1714.813211
20.0,2002,1733.925745
14.0,2741,1759.735901
19.0,2053,1779.319843
19.0,1770,1796.077347
19.0,2148,1816.484599
19.0,2541,1840.857804
19.0,2092,1860.417028
18.0,1924,1878.289418
17.0,3007,1906.327451
21.0,1648,1922.154414
20.0,1563,1936.316095
20.0,1590,1951.734473
21.0,1555,1966.420579
20.0,1566,1980.833895
20.0,1565,1995.611072
18.0,2101,2015.548823
19.0,1743,2032.214487
20.0,2004,2051.205947
19.0,2180,2071.482519
19.0,2047,2090.371336
19.0,2086,2109.771392
19.0,1687,2125.557922
20.0,2005,2144.386143
20.0,2002,2163.49538
20.0,1567,2178.029912
18.0,2127,2198.129816
20.0,1597,2213.441441
20.0,1595,2228.37751
21.0,1558,2243.483819
20.0,1564,2257.840401
20.0,2055,2277.521397
20.0,1629,2292.93311
20.0,1567,2307.739972
19.0,2087,2327.75471
20.0,1626,2343.432632
20.0,1595,2358.550602
18.0,1786,2375.432376
20.0,1561,2390.155847
21.0,1557,2404.694776
17.0,2456,2428.024579
20.0,1566,2442.470383
20.0,2001,2461.181461
20.0,2053,2482.242316
20.0,1625,2497.138458
-1.0,3388,2529.916388
21.0,1992,2548.846131
21.0,1993,2568.001866
21.0,1993,2586.679865
20.0,2787,2613.654157
19.0,1791,2630.642845
20.0,1689,2646.468787
19.0,2335,2668.553028
21.0,1554,2683.786358
21.0,1556,2698.852902
20.0,2788,2725.217759
21.0,1993,2743.862074
21.0,1781,2760.870649
20.0,1815,2777.974566
20.0,2003,2796.780015
21.0,1554,2811.379539
19.0,2087,2830.81875
21.0,1988,2850.301642
21.0,1989,2868.67954
21.0,1990,2887.728922
21.0,1558,2903.566061
19.0,1684,2921.128056
21.0,1991,2942.160423
19.0,2088,2964.045433
18.0,2346,2988.422225
20.0,2790,3017.895056
21.0,1995,3039.162174
20.0,1597,3056.036967
17.0,1803,3075.150871
21.0,1557,3091.196538
21.0,1555,3107.561602
19.0,1869,3127.168692
21.0,1992,3147.833808
21.0,1557,3164.730108
21.0,1996,3185.314991
21.0,1555,3200.39011
20.0,1622,3216.300773
21.0,1560,3231.230693
20.0,2790,3258.521826
21.0,1554,3273.67422
20.0,2029,3293.479923
20.0,1629,3309.165594
21.0,1988,3327.959526
17.0,2555,3353.010497
19.0,2062,3373.295151
20.0,2794,3400.727206
19.0,1926,3419.704612
20.0,2057,3439.659581
20.0,2032,3460.253879
20.0,2792,3487.77803
21.0,1558,3502.918088
18.0,2711,3528.580498
21.0,1994,3548.802992
