#{"t_start": 1528347272.0282843, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,758,9.940879
-21.0,907,16.916725
-20.0,898,23.734702
-20.0,985,31.332534
-21.0,879,37.964535
-20.0,1043,45.940268
-21.0,914,52.838942
-20.0,978,61.599069
-21.0,839,68.378658
-21.0,936,76.53602
-21.0,778,82.915003
-21.0,824,89.763607
-19.0,1048,98.407138
-20.0,901,106.01977
-20.0,842,113.330061
-19.0,975,121.555832
-20.0,1056,130.614842
-20.0,840,137.429302
-21.0,819,144.804115
-20.0,1219,155.029815
-21.0,795,161.773714
-21.0,832,169.006104
-20.0,895,176.568001
-21.0,1021,185.183388
-21.0,885,192.623416
-21.0,791,199.223048
-21.0,907,206.850905
-20.0,896,214.434494
-20.0,930,222.26122
-21.0,866,229.702918
-21.0,1067,238.599376
-19.0,976,247.105907
-20.0,1138,256.877106
-20.0,838,263.965675
-20.0,1064,273.251329
-19.0,1054,282.097076
-20.0,1003,290.873496
-21.0,780,297.417243
-19.0,1099,306.510983
-20.0,928,314.47925
-19.0,1022,322.69797
-20.0,890,330.276685
-20.0,932,338.636148
-19.0,1198,348.504547
-18.0,1295,359.422014
-17.0,1161,369.329295
-18.0,1141,378.941726
-18.0,1242,389.652949
-20.0,1118,398.881119
-14.0,1787,413.41065
-14.0,1610,427.067733
-19.0,1466,439.094607
-8.0,2118,456.790553
-19.0,1384,468.515872
-15.0,1858,483.945657
-9.0,2276,502.970358
-9.0,2047,520.101028
-4.0,2420,540.201674
-6.0,2367,559.863887
4.0,2642,581.854273
3.0,2710,604.602745
7.0,2490,625.706611
13.0,2145,643.535191
18.0,1816,659.059759
1.0,2960,683.783156
18.0,1885,699.46638
19.0,1816,715.136276
7.0,2696,737.882339
7.0,2797,761.433173
17.0,2012,778.534801
16.0,2144,796.7796
19.0,1993,813.5702
19.0,1835,830.292056
20.0,1785,845.408607
10.0,2622,868.031419
19.0,1815,883.536431
20.0,1703,898.328038
13.0,2311,917.930189
21.0,1670,933.546917
17.0,1922,950.01527
21.0,1669,964.737035
21.0,1635,978.543932
20.0,1767,993.743645
19.0,1749,1008.696146
18.0,1878,1025.282375
21.0,1635,1039.037131
20.0,1726,1054.106649
19.0,1857,1069.776288
20.0,1742,1085.085308
14.0,2242,1104.05648
21.0,1673,1118.375094
20.0,1735,1133.611096
20.0,1729,1148.257395
17.0,2206,1167.714825
19.0,1913,1184.248606
20.0,1902,1200.570919
20.0,1934,1217.470114
21.0,1634,1232.066995
21.0,1673,1246.560668
19.0,2196,1266.435164
20.0,1730,1281.844901
20.0,1690,1296.812674
19.0,2046,1314.757756
21.0,1673,1329.429514
19.0,2011,1347.134376
21.0,1667,1361.581921
21.0,1632,1376.087924
19.0,2010,1393.149013
20.0,1707,1408.308692
21.0,1633,1422.269762
19.0,1861,1439.167468
21.0,1673,1453.743049
21.0,1673,1468.378326
20.0,1711,1482.962863
21.0,1635,1497.170088
21.0,1669,1511.76878
21.0,1634,1526.07371
20.0,1734,1541.278078
20.0,1736,1556.793948
20.0,1686,1571.49381
20.0,1691,1586.291979
21.0,1629,1600.700781
21.0,1630,1615.27019
21.0,1634,1629.332555
21.0,1630,1643.818616
21.0,1673,1658.608765
20.0,1719,1673.744805
18.0,2047,1691.973744
19.0,1906,1708.329394
21.0,1634,1722.740185
19.0,1896,1739.622944
21.0,1822,1755.377823
20.0,1715,1771.057912
20.0,1857,1787.122047
21.0,1668,1802.096253
21.0,1636,1816.573201
21.0,1826,1832.644085
21.0,1634,1847.150199
19.0,1894,1864.210291
21.0,1636,1878.490278
21.0,1635,1893.352863
21.0,1630,1908.387291
21.0,1630,1922.881572
20.0,1933,1940.330244
19.0,1932,1957.751831
21.0,1631,1972.149525
17.0,1945,1989.819675
21.0,1823,2006.023539
19.0,1985,2023.620518
20.0,1859,2040.930212
21.0,1636,2055.797336
21.0,1669,2070.622662
21.0,1634,2085.038753
21.0,1631,2100.085272
21.0,1673,2115.445821
21.0,1633,2130.224814
21.0,1821,2146.519645
20.0,1856,2163.593895
21.0,1632,2178.068666
21.0,1635,2192.910256
21.0,1635,2207.745473
20.0,1899,2225.125638
21.0,1669,2240.498475
21.0,1630,2255.46489
21.0,1634,2269.730573
18.0,1982,2288.202471
18.0,1871,2304.750571
19.0,1905,2321.917709
21.0,1631,2336.889283
21.0,1632,2351.445167
21.0,1631,2365.584321
21.0,1789,2381.655071
21.0,1633,2396.499271
21.0,1823,2413.139852
20.0,1752,2429.401222
21.0,1632,2444.263533
19.0,1965,2461.957648
21.0,1630,2476.651669
20.0,1667,2491.765365
20.0,1688,2507.245683
14.0,2259,2528.250661
21.0,1824,2544.520215
21.0,1822,2560.763816
15.0,2184,2580.480386
21.0,1631,2595.395022
20.0,1752,2611.467447
21.0,1821,2628.145931
21.0,1633,2642.640336
21.0,1629,2657.861728
21.0,1631,2673.110014
21.0,1820,2689.887982
20.0,1875,2707.013285
21.0,1634,2721.461404
21.0,1670,2737.028695
21.0,1630,2751.915821
21.0,1673,2767.08374
21.0,1635,2782.159742
21.0,1672,2797.486981
21.0,1636,2812.91427
21.0,1636,2828.254855
21.0,1672,2851.66904
21.0,1631,2874.140911
21.0,1671,2897.154699
21.0,1634,2920.880049
21.0,1629,2936.484075
20.0,1893,2973.866318
21.0,1825,2999.75616
21.0,1807,3024.251242
16.0,1957,3048.697664
21.0,1677,3064.003058
21.0,1661,3079.30161
21.0,1673,3094.650624
21.0,1631,3109.744221
21.0,1632,3124.916621
12.0,2136,3145.24682
19.0,1798,3161.857103
21.0,1676,3177.247621
21.0,1636,3192.047349
21.0,1629,3207.366375
21.0,1662,3222.89923
21.0,1631,3238.177819
21.0,1666,3253.755301
21.0,1663,3269.146351
21.0,1632,3284.40512
21.0,1682,3300.180254
20.0,1737,3316.036137
21.0,1633,3331.372274
20.0,1709,3347.40773
21.0,1665,3363.154957
21.0,1635,3378.329558
21.0,1633,3393.85831
21.0,1662,3409.430171
20.0,1698,3424.995094
20.0,1696,3440.395258
21.0,1629,3455.57215
20.0,1727,3471.43061
21.0,1630,3486.630134
21.0,1633,3502.018522
21.0,1633,3517.140968
21.0,1631,3531.976136
21.0,1668,3547.65339
21.0,1632,3562.8906
21.0,1634,3578.163849
21.0,1693,3593.916325
21.0,1662,3609.389099
19.0,1842,3626.539642
