#{"t_start": 1528320467.2998822, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,881,11.516752
-20.0,933,18.018718
-21.0,851,23.830802
-21.0,854,29.648756
-19.0,984,36.491751
-21.0,967,42.925332
-21.0,764,48.357928
-20.0,927,54.897602
-20.0,831,60.987296
-19.0,913,67.102073
-19.0,1010,74.149881
-18.0,1015,81.557717
-21.0,952,88.181962
-20.0,1077,97.550004
-21.0,903,105.07008
-19.0,953,113.448475
-20.0,896,121.30791
-21.0,822,128.082392
-21.0,819,135.129562
-21.0,905,143.176775
-21.0,762,149.813354
-20.0,871,157.243767
-21.0,840,164.228905
-21.0,924,172.12659
-21.0,851,179.03205
-21.0,804,184.857161
-17.0,1158,193.884374
-20.0,887,201.246273
-20.0,889,208.760803
-20.0,840,216.025855
-20.0,837,222.935427
-21.0,778,229.746717
-21.0,809,236.903074
-20.0,934,244.677858
-21.0,759,251.274441
-19.0,974,259.247551
-20.0,853,266.565634
-20.0,1041,275.678732
-18.0,1217,286.476848
-21.0,943,294.519306
-19.0,1015,303.235103
-20.0,1007,311.83225
-20.0,969,320.198674
-21.0,807,327.427284
-20.0,1153,337.35937
-19.0,915,344.869917
-21.0,1021,353.264528
-21.0,891,360.496995
-20.0,917,368.224729
-21.0,1032,376.481715
-21.0,938,384.059605
-19.0,1008,392.205913
-21.0,822,398.667412
-19.0,1035,406.970642
-21.0,970,414.777934
-20.0,951,422.311318
-20.0,1044,431.026905
-21.0,818,437.696549
-21.0,848,444.367159
-19.0,1064,453.234633
-21.0,844,459.835516
-20.0,1068,468.591523
-17.0,1216,478.386686
-20.0,1030,486.729307
-20.0,925,494.326599
-19.0,1106,503.465347
-20.0,1005,511.790897
-21.0,967,519.44725
-20.0,1073,528.434568
-21.0,851,535.105929
-21.0,912,542.507214
-21.0,881,549.58741
-20.0,987,558.13853
-20.0,912,565.75218
-20.0,1217,576.749842
-21.0,944,584.988658
-20.0,921,592.20686
-20.0,873,599.074754
-20.0,1016,607.471062
-21.0,850,614.938435
-19.0,1038,623.793393
-19.0,1111,633.105837
-19.0,1048,642.258336
-21.0,1113,651.846392
-18.0,1206,662.675803
-18.0,1246,673.551124
-18.0,1271,684.618051
-21.0,939,693.092078
-14.0,1701,707.845866
-21.0,914,715.728876
-19.0,1616,730.005481
-15.0,1405,742.583849
-18.0,1324,754.293577
-19.0,1301,764.779271
-19.0,1404,776.18235
-21.0,1425,787.428537
-19.0,1614,800.319501
-18.0,1737,814.112003
-21.0,1481,825.928988
-12.0,3115,850.536299
-19.0,1850,865.382421
-15.0,2312,883.563078
-21.0,1953,898.626676
-16.0,2495,918.382927
-14.0,2747,940.362795
-11.0,2909,963.604959
-16.0,2616,986.067631
-21.0,2273,1005.623007
-17.0,2233,1024.512514
-21.0,1985,1041.806793
-14.0,3044,1073.544167
-12.0,3335,1102.894921
-12.0,3139,1130.46226
-2.0,3554,1159.92851
-5.0,3431,1187.675904
-5.0,3692,1216.966505
-7.0,2878,1239.573569
-17.0,2426,1258.915339
-18.0,2080,1274.615824
-19.0,2141,1291.277642
-6.0,3899,1320.732901
-2.0,3795,1350.349042
-17.0,1732,1363.760624
-18.0,1901,1378.577731
-2.0,3661,1407.479527
-2.0,4104,1439.509194
-14.0,2377,1458.390992
-17.0,1891,1473.074999
3.0,4239,1506.141975
-6.0,3372,1531.783647
3.0,4615,1568.309541
-10.0,2804,1590.321709
-7.0,2982,1613.663408
-8.0,3097,1638.373852
-9.0,2826,1661.17508
-10.0,2626,1681.218963
-8.0,3191,1705.899137
-3.0,3633,1734.868847
-3.0,3900,1765.077319
5.0,4345,1798.809582
-3.0,4395,1832.993295
-3.0,4102,1864.679574
-2.0,3860,1894.933964
10.0,3762,1924.629251
8.0,4225,1957.82614
6.0,3493,1985.140885
13.0,3260,2011.065991
10.0,3281,2036.594116
8.0,4689,2075.320653
-1.0,4253,2108.641633
13.0,4435,2144.817892
11.0,3298,2171.257002
15.0,2794,2193.610961
16.0,2722,2215.427989
7.0,3184,2241.339787
13.0,2913,2264.911071
21.0,2307,2283.572272
15.0,2723,2305.734809
20.0,2473,2325.829655
6.0,4454,2361.318216
13.0,4084,2393.366473
9.0,3233,2418.717014
