#{"t_start": 1528305814.7553043, "env_id": "PongNoFrameskip-v4"}
r,l,t
-17.0,1280,14.160915
-19.0,998,20.93
-19.0,1041,28.060987
-21.0,824,33.797073
-20.0,881,39.900555
-21.0,787,45.214088
-20.0,1037,52.159926
-21.0,907,58.268511
-21.0,928,64.700099
-20.0,1017,71.749312
-20.0,986,78.148549
-21.0,1002,84.432341
-21.0,878,90.324364
-20.0,958,97.916803
-20.0,952,105.270322
-21.0,846,112.219296
-20.0,840,118.481155
-21.0,825,124.923142
-21.0,820,130.806484
-21.0,911,137.748775
-21.0,776,143.623742
-20.0,958,151.131196
-20.0,842,157.488722
-20.0,912,164.652004
-20.0,1033,172.249649
-21.0,970,179.212323
-21.0,820,185.427123
-20.0,947,192.48824
-21.0,778,198.242476
-21.0,850,204.264465
-20.0,839,210.485909
-20.0,944,217.805683
-21.0,849,224.161129
-21.0,817,230.462127
-21.0,779,236.064496
-20.0,899,242.94106
-20.0,961,249.970963
-19.0,994,257.417296
-20.0,999,264.792569
-21.0,763,270.437413
-21.0,761,276.12263
-21.0,790,282.026187
-19.0,948,288.846953
-20.0,1037,296.743066
-20.0,1067,304.679571
-21.0,781,310.30964
-21.0,761,316.107591
-21.0,836,322.006701
-21.0,863,328.075353
-21.0,925,334.477978
-21.0,824,340.500032
-20.0,868,346.764222
-20.0,987,354.051405
-21.0,878,360.152792
-19.0,1426,370.028719
-21.0,762,375.548457
-21.0,848,381.414639
-21.0,819,387.46394
-20.0,838,393.170209
-20.0,1058,400.83281
-19.0,993,407.778122
-19.0,1179,416.240667
-21.0,760,421.662457
-19.0,944,428.665607
-20.0,925,435.254204
-20.0,1022,442.559643
-20.0,966,449.268116
-19.0,1046,456.75203
-20.0,898,463.011297
-21.0,850,469.10682
-20.0,1027,476.414727
-21.0,883,482.877882
-21.0,911,489.20926
-21.0,937,496.072484
-21.0,957,502.85379
-20.0,954,509.427895
-21.0,912,516.086938
-21.0,820,521.689079
-20.0,898,528.038086
-21.0,836,533.731921
-20.0,940,540.621869
-20.0,975,547.081685
-21.0,946,553.940746
-20.0,832,559.965768
-21.0,783,565.670645
-21.0,942,572.476261
-21.0,819,578.248845
-20.0,892,584.674949
-19.0,1181,593.107308
-21.0,848,599.418329
-20.0,954,606.059148
-20.0,974,613.072148
-20.0,1255,622.0554
-20.0,1065,629.6549
-19.0,1025,637.253499
-20.0,989,644.567724
-21.0,879,650.844593
-18.0,992,657.523423
-20.0,837,663.768392
-21.0,939,670.742356
-20.0,1139,678.984617
-19.0,1115,687.506432
-21.0,850,693.692704
-21.0,824,700.134694
-21.0,853,706.386913
-20.0,892,712.879616
-21.0,878,719.456698
-21.0,888,725.910817
-21.0,789,731.779851
-20.0,894,738.048256
-20.0,1084,745.948963
-18.0,1026,753.46032
-20.0,1069,761.158093
-19.0,1177,769.66512
-19.0,1009,776.782045
-21.0,925,783.236356
-21.0,881,789.631872
-21.0,884,795.847631
-20.0,895,802.782542
-21.0,1034,810.428723
-21.0,939,817.352225
-21.0,908,823.741281
-20.0,931,831.118638
-20.0,858,837.206754
-18.0,1284,846.611672
-21.0,995,854.162943
-17.0,1204,863.147602
-21.0,881,869.437986
-21.0,903,876.121437
-21.0,959,882.999845
-21.0,880,889.476787
-19.0,1029,896.828405
-20.0,927,903.308465
-21.0,849,909.781041
-20.0,842,915.755292
-20.0,838,922.53544
-20.0,912,929.276615
