#{"t_start": 1528313233.214842, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,835,19.725186
-21.0,821,33.306891
-21.0,1026,50.408827
-20.0,1115,67.843769
-20.0,920,83.521941
-21.0,779,96.168172
-21.0,847,109.939205
-20.0,904,125.453032
-20.0,918,140.015134
-20.0,857,153.570312
-20.0,1001,169.659455
-21.0,849,183.929981
-20.0,935,198.54642
-20.0,1137,217.647516
-21.0,881,232.021097
-19.0,989,248.282931
-20.0,1046,265.800965
-20.0,957,281.069826
-19.0,944,296.758381
-20.0,1110,315.449217
-18.0,1175,334.205166
-20.0,953,350.61397
-20.0,1131,368.927342
-21.0,957,384.291196
-21.0,1042,401.114268
-18.0,1177,420.217802
-20.0,1343,441.438228
-18.0,1817,471.653152
-20.0,1405,494.409186
-18.0,1982,526.906484
-15.0,1850,557.961306
-13.0,2135,591.822087
-13.0,2282,629.945779
-7.0,2663,673.045783
-6.0,2724,717.613587
-2.0,2802,763.204113
-5.0,2564,804.402604
-4.0,2532,846.103881
-8.0,2390,885.624622
-4.0,2431,925.697033
-3.0,2719,971.908759
1.0,2816,1018.68514
-3.0,2708,1063.994261
2.0,2980,1115.985534
6.0,2587,1162.684195
3.0,2797,1214.439644
-1.0,2961,1267.595536
2.0,3219,1327.908488
1.0,3140,1387.509661
3.0,3024,1444.921838
5.0,3112,1506.02174
8.0,2818,1564.469136
7.0,2648,1622.249351
1.0,3649,1702.7145
12.0,2293,1752.618678
13.0,2378,1805.163109
6.0,2649,1864.401309
17.0,1995,1907.482921
14.0,2305,1957.550967
17.0,1869,1995.929222
20.0,1666,2031.598224
19.0,1709,2066.006048
18.0,1808,2102.728761
17.0,1853,2140.973315
19.0,1725,2176.610802
19.0,1719,2212.084605
20.0,1662,2245.227727
20.0,1663,2280.742838
20.0,1662,2316.661743
18.0,1848,2355.428268
19.0,1719,2391.053194
19.0,1725,2429.128625
18.0,1925,2471.78597
18.0,1856,2513.221864
19.0,1801,2554.757463
20.0,1664,2592.508761
18.0,1832,2635.006874
19.0,1759,2676.521908
21.0,1691,2718.312972
20.0,1666,2757.809823
20.0,1669,2798.196225
19.0,1755,2843.144053
17.0,1805,2889.200137
