#{"t_start": 1528343109.2069306, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1047,13.344993
-20.0,1105,21.859316
-18.0,1103,30.531862
-20.0,1052,38.553271
-19.0,931,45.602384
-21.0,909,52.660837
-20.0,962,61.077412
-21.0,880,68.837161
-21.0,944,76.559415
-18.0,1271,88.121025
-21.0,943,96.424024
-21.0,942,104.909826
-21.0,1218,115.613473
-21.0,838,123.476331
-21.0,935,131.748179
-20.0,837,139.671075
-21.0,824,146.600341
-21.0,854,154.355422
-19.0,925,162.690842
-21.0,845,170.044367
-21.0,785,177.337179
-21.0,877,184.574767
-20.0,1022,193.719016
-21.0,963,202.342957
-20.0,912,211.006211
-21.0,887,219.009397
-21.0,843,225.993043
-21.0,847,234.240579
-20.0,1011,243.041743
-20.0,1039,252.173432
-21.0,874,260.101335
-19.0,1056,269.566436
-21.0,894,277.30927
-21.0,777,284.156016
-20.0,926,292.182031
-19.0,1003,301.215256
-21.0,999,310.141144
-20.0,1044,319.857047
-19.0,1041,328.882744
-20.0,884,336.539315
-21.0,1139,347.155401
-21.0,822,354.555827
-20.0,947,363.395799
-21.0,999,372.190251
-20.0,961,381.024364
-21.0,941,389.416349
-20.0,898,397.837067
-20.0,1129,407.70742
-20.0,1047,417.081254
-20.0,862,425.036933
-21.0,930,433.217578
-18.0,1310,445.123584
-18.0,1133,454.929062
-21.0,879,462.897077
-19.0,1031,471.83593
-21.0,865,479.60548
-19.0,1147,489.743928
-21.0,900,497.720831
-20.0,928,505.535537
-21.0,1121,515.219049
-21.0,1198,525.528478
-21.0,902,533.348004
-20.0,988,541.477365
-20.0,1072,550.22163
-20.0,1160,559.81108
-19.0,933,567.854564
-20.0,1250,578.11061
-20.0,1217,588.545498
-18.0,1343,599.661734
-21.0,973,607.890386
-20.0,1099,617.312471
-16.0,1688,631.791599
-20.0,1836,647.226819
-19.0,1203,657.251718
-20.0,1513,670.234093
-17.0,2324,689.99406
-20.0,1646,704.046841
-20.0,2035,721.295311
-16.0,2269,740.342726
-17.0,2191,758.728599
-19.0,2656,781.249205
-19.0,2121,799.040119
-16.0,3108,827.00769
-18.0,2745,851.572407
-21.0,3309,882.147021
-13.0,3867,917.75097
-21.0,3389,947.962075
-20.0,4008,983.233677
-18.0,3999,1017.839245
-10.0,4964,1060.743837
2.0,6219,1115.931529
4.0,5647,1165.85372
-5.0,5350,1214.753004
1.0,8028,1287.020877
-15.0,4850,1330.493739
14.0,4013,1366.574608
-17.0,3883,1400.697461
-15.0,7486,1468.381941
-13.0,5213,1514.799966
-13.0,5963,1567.998252
18.0,3326,1597.580691
16.0,3346,1626.650189
-7.0,6684,1684.812587
2.0,6953,1745.98594
-1.0,7728,1813.558972
16.0,3048,1840.876125
-1.0,6904,1901.012534
-9.0,5178,1946.327522
11.0,4931,1990.145393
4.0,5767,2041.364931
11.0,3587,2088.286657
3.0,6198,2143.695421
18.0,2636,2168.189638
10.0,5366,2216.689953
9.0,6983,2280.136482
17.0,3488,2312.137631
18.0,3290,2341.963723
2.0,8153,2416.565339
16.0,4287,2455.854575
21.0,2876,2482.893746
20.0,3083,2511.441494
18.0,3319,2542.556218
19.0,3012,2570.848808
19.0,3049,2599.803851
16.0,3325,2630.740034
21.0,2882,2658.034256
20.0,3029,2686.845366
20.0,2872,2714.223837
19.0,2740,2739.668035
20.0,2556,2764.224862
21.0,2505,2788.243412
20.0,2658,2813.403921
18.0,2614,2839.164186
19.0,2598,2863.831922
18.0,2787,2890.796639
19.0,2845,2917.513081
20.0,2853,2943.95284
21.0,2463,2966.91687
19.0,2463,2990.412428
19.0,2864,3017.059131
21.0,2635,3041.860108
20.0,2513,3065.265339
21.0,2629,3090.204128
20.0,2513,3113.472612
21.0,2463,3137.864569
20.0,2811,3165.000444
20.0,2720,3191.477458
21.0,2723,3217.241704
21.0,2090,3237.498546
20.0,2872,3265.234625
16.0,3831,3301.935551
21.0,2149,3321.912036
21.0,1997,3341.549993
20.0,2666,3366.95268
17.0,3109,3396.569397
21.0,1999,3415.774745
15.0,3084,3445.571324
21.0,2001,3464.708519
21.0,1999,3484.3272
21.0,2634,3510.528585
20.0,2757,3538.219695
21.0,2633,3564.228889
21.0,2629,3590.188956
19.0,2693,3622.366282
20.0,2767,3650.702139
21.0,2058,3671.206672
21.0,2001,3690.89718
16.0,2490,3716.383728
21.0,1999,3737.381196
19.0,2790,3767.799628
18.0,2400,3795.039592
19.0,2875,3827.039207
