#{"t_start": 1528347289.5673192, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1044,14.867994
-20.0,927,22.780696
-21.0,790,29.582481
-21.0,826,36.392289
-20.0,896,44.12739
-21.0,822,51.22608
-20.0,842,58.469477
-20.0,835,66.672566
-20.0,835,74.340113
-21.0,957,83.733763
-20.0,836,91.354802
-21.0,882,99.741011
-21.0,780,107.075414
-21.0,853,115.53564
-21.0,862,123.733831
-20.0,899,132.23965
-21.0,972,141.167706
-20.0,928,149.838004
-20.0,895,158.259056
-18.0,1082,168.158063
-21.0,809,175.707905
-21.0,885,184.060961
-19.0,932,192.446203
-20.0,886,200.133203
-21.0,819,207.617621
-19.0,1020,217.43845
-21.0,906,226.078944
-21.0,956,234.860047
-19.0,1024,245.032591
-20.0,1077,255.554834
-21.0,866,263.747205
-21.0,866,272.194587
-21.0,841,279.95286
-21.0,880,287.486015
-21.0,880,295.705188
-20.0,946,304.357965
-21.0,847,311.756624
-18.0,1106,322.116411
-19.0,973,331.284249
-20.0,908,339.72276
-19.0,965,348.191377
-21.0,809,355.519108
-18.0,1329,368.14808
-21.0,1058,377.798307
-20.0,1042,387.184784
-20.0,1219,397.847768
-18.0,1143,407.753905
-20.0,1007,416.093004
-19.0,1133,426.010733
-19.0,1227,437.099792
-19.0,1313,448.208311
-19.0,1317,459.468178
-21.0,1186,470.062803
-17.0,1343,481.388757
-18.0,1234,492.587916
-20.0,1309,504.98264
-19.0,1497,518.844049
-17.0,1305,530.589961
-19.0,1134,541.079481
-18.0,2056,560.150463
-17.0,2055,578.707692
-19.0,2222,597.683262
-19.0,2666,620.627594
-21.0,2769,644.033411
-16.0,3971,678.31882
-11.0,5000,720.836041
-18.0,4983,762.998376
-16.0,5494,810.406633
-17.0,3983,844.806156
-7.0,7687,911.57265
-12.0,4561,950.69212
-12.0,4603,990.238753
-9.0,5814,1039.953837
4.0,5687,1089.394965
-8.0,5566,1137.144643
-1.0,6718,1196.231786
5.0,5292,1245.554025
-4.0,6658,1307.410845
-4.0,5681,1360.737544
4.0,4649,1405.117577
2.0,5327,1454.882386
3.0,6027,1511.397154
14.0,4022,1548.944708
5.0,4893,1595.332701
17.0,3689,1631.248862
13.0,3543,1665.768281
8.0,4111,1705.953203
11.0,4447,1748.598486
16.0,2791,1775.366214
20.0,2564,1799.905505
16.0,2906,1827.842244
18.0,2620,1853.002307
21.0,1673,1869.590362
18.0,2255,1891.980491
17.0,2224,1913.695596
21.0,1685,1931.028573
20.0,1732,1947.735443
19.0,1774,1965.596703
21.0,1670,1981.817658
21.0,1763,1999.542472
19.0,1911,2018.542694
21.0,1763,2035.436075
20.0,1741,2052.522031
21.0,1667,2069.149456
20.0,1743,2086.579902
21.0,1834,2104.393382
14.0,2634,2130.057589
21.0,1668,2146.38161
21.0,1672,2162.84596
21.0,1670,2179.638168
21.0,1835,2197.563038
20.0,1913,2216.317716
21.0,1758,2233.287865
21.0,1833,2251.525621
18.0,2225,2273.078182
21.0,1678,2289.642252
21.0,1685,2306.473615
10.0,2350,2330.11627
20.0,1741,2346.842303
21.0,1673,2363.061641
20.0,1906,2382.239906
21.0,1684,2399.009706
20.0,1741,2416.810052
18.0,1910,2435.674205
19.0,1824,2453.766214
21.0,1684,2470.489548
21.0,1671,2487.290146
20.0,1740,2505.021123
21.0,1756,2523.030547
20.0,1802,2541.409197
19.0,2040,2561.804906
17.0,1872,2580.243309
21.0,1672,2595.667181
19.0,1769,2612.483585
21.0,1669,2628.198954
19.0,1810,2644.93385
20.0,1725,2661.009775
20.0,1797,2677.921584
21.0,1673,2693.443744
21.0,1759,2709.227685
20.0,1741,2725.319494
21.0,1671,2740.453182
21.0,1673,2755.959601
21.0,1672,2771.503471
20.0,1885,2789.268184
20.0,1719,2805.357872
21.0,1671,2824.907655
21.0,1672,2847.773444
20.0,1868,2877.930736
21.0,1667,2903.601473
21.0,1678,2925.064755
21.0,1670,2957.554444
21.0,1749,2989.080969
21.0,1675,3012.388807
21.0,1671,3033.465768
21.0,1668,3049.229461
21.0,1673,3065.304045
16.0,2078,3084.92423
21.0,1670,3100.42489
21.0,1679,3116.092963
21.0,1754,3132.755938
19.0,1775,3149.464279
20.0,1850,3166.81698
21.0,1760,3183.373335
21.0,1759,3200.162407
18.0,1850,3217.270017
21.0,1682,3233.08864
21.0,1675,3248.835035
18.0,1961,3267.704067
20.0,1801,3284.489136
21.0,1682,3300.204095
21.0,1675,3315.798142
21.0,1761,3332.463567
21.0,1684,3348.52744
21.0,1671,3365.288134
20.0,1827,3383.37177
21.0,1668,3399.392891
21.0,1671,3415.266108
21.0,1761,3431.922631
21.0,1757,3449.126479
21.0,1673,3465.120059
21.0,1681,3481.088633
19.0,1805,3498.615786
21.0,1673,3514.713684
21.0,1675,3530.559362
21.0,1670,3546.614861
21.0,1671,3562.816782
21.0,1760,3579.87144
21.0,1683,3596.132163
20.0,1873,3614.330436
21.0,1684,3630.71868
21.0,1668,3647.015508
